gamma,mean_viol_DLR,std_viol_DLR,mean_viol_DLR2obf,std_viol_DLR2obf,mean_relerr_DLR,std_relerr_DLR,mean_relerr_DLR2obf,std_relerr_DLR2obf,mean_abs_error_DLR,std_abs_error_DLR,mean_abs_error_DLR2obf,std_abs_error_DLR2obf
0,0.3615,0.0484223318544473,0.228,0.0848102457122828,0.213223439123842,0.0355538878443677,0.115301895948095,0.0530922054227113,1.60281249917175,0.342322866173286,0.721054665323944,0.462911029095848
0.1,0.343,0.0481433045996822,0.04375,0.0272399318811353,0.215599905727335,0.0351441679845084,0.121095492920808,0.0529857856314126,1.62706246126031,0.335398637966191,0.799072227979,0.469062297959417
0.25,0.3165,0.0484223318544473,0.00525,0.00594535299391232,0.219969728551268,0.0344590855989023,0.131228218497794,0.0519644021724719,1.67010632614956,0.323823014238707,0.943663472990598,0.46827841429095
0.5,0.276,0.0624855538860339,0.0005,0.00105409255338946,0.229245277809238,0.033197163660564,0.150567604336038,0.0494557441682256,1.75982638983993,0.298949732936212,1.19253912827513,0.468273111083646
1,0.201,0.0539958846168442,0,0,0.254139690413113,0.0306822731194852,0.193901140052182,0.0457507019133419,1.99851632111354,0.247402997089939,1.68927013249294,0.466032474741472
2,0.112,0.0361478445646026,0,0,0.321251625467142,0.0283156282092568,0.286988545618247,0.0498383745262984,2.64138750145438,0.172592318309088,2.66062961765759,0.446351221963183
3,0.0575,0.0302994316044964,0,0,0.400379804522526,0.0307545129597912,0.382439964241797,0.0651254952231482,3.40478295394138,0.151183539066614,3.60671621976334,0.41605915611967
4,0.0275,0.0220164080227048,0,0,0.483190829865339,0.037107553510399,0.475846633833237,0.0842797416899633,4.20805862317409,0.174908802939654,4.50979072848077,0.410736763764022
5,0.0105,0.0125720147770974,0,0,0.563687026144801,0.0443472802998895,0.563462525804933,0.100782827411232,4.98274665844972,0.224409278176045,5.34034806751464,0.448867428949357
