gamma,mean_viol_DLR,std_viol_DLR,mean_viol_DLR2obf,std_viol_DLR2obf,mean_relerr_DLR,std_relerr_DLR,mean_relerr_DLR2obf,std_relerr_DLR2obf,mean_abs_error_DLR,std_abs_error_DLR,mean_abs_error_DLR2obf,std_abs_error_DLR2obf
0,0.363,0.0431534728871527,0.216,0.076077445920442,0.206220051265767,0.0204399161641831,0.12136538603307,0.0567108976048278,1.65375821379926,0.183985604451068,1.04817934045835,0.625392546910138
0.1,0.3395,0.043553925706467,0.04575,0.0336041085451037,0.208568414812975,0.0201881629881744,0.126342480551147,0.056566989201577,1.67892550835186,0.181599757126844,1.12656052444837,0.630703171358569
0.25,0.3105,0.0420614629639373,0.0085,0.0152388392675499,0.212780426141214,0.0198097452988411,0.134615537012453,0.0557237093013118,1.72447358141014,0.176784346002798,1.26983118998206,0.632121987661468
0.5,0.2605,0.0334539484465835,0.00175,0.00472140515807176,0.221512679266444,0.0192296349892083,0.149755411180205,0.0537342087920075,1.81999844682877,0.16711519947866,1.51662739706311,0.631365708402879
1,0.1875,0.033520308935198,0,0,0.24448273110628,0.018583724780943,0.182886729528798,0.0497979853334294,2.07181798130572,0.146050661225898,2.0129293347202,0.629393572009707
2,0.1015,0.0242727556463346,0,0,0.305972894788085,0.0205252219292373,0.252999225687223,0.0459877090876721,2.74261479250325,0.112277024467797,2.97734729724001,0.645380438579007
3,0.0515,0.0182650242570633,0,0,0.379169215140363,0.0255279786218302,0.324394483740175,0.0466055102666317,3.54030379349266,0.0983102089151181,3.904098307408,0.683566007781864
4,0.0295,0.0118907059878246,0,0,0.456542930518704,0.0311025646189369,0.396110584834543,0.0498609215094722,4.37095322135019,0.110811017244222,4.80789666186433,0.73431996617718
5,0.0165,0.00579750904364203,0,0,0.533757643820418,0.0364854938862351,0.466629039181572,0.0550651396622669,5.18306916598421,0.13211923972149,5.67387931042905,0.783181817161838
