gamma,mean_viol_DLR,std_viol_DLR,mean_viol_DLR2obf,std_viol_DLR2obf,mean_relerr_DLR,std_relerr_DLR,mean_relerr_DLR2obf,std_relerr_DLR2obf,mean_abs_error_DLR,std_abs_error_DLR,mean_abs_error_DLR2obf,std_abs_error_DLR2obf
0,0.3775,0.0239501797719999,0.27825,0.0855541576364871,0.227613907632212,0.0207032496317834,0.107950526577362,0.0441384797870185,1.87772398749954,0.271803121152343,0.658186996772729,0.402746270906675
0.1,0.36,0.0297209241668784,0.08825,0.0676700532814266,0.229463427034998,0.0204830934348561,0.113480068191883,0.0446244590639907,1.89890159532337,0.270176996412588,0.726550757171082,0.408406423320171
0.25,0.332,0.0330151480384384,0.0195,0.0246306042692149,0.232859988730609,0.0200760240635219,0.123304288900808,0.0444135132082767,1.9377676383103,0.266950226567682,0.862742019540795,0.410299219219003
0.5,0.2905,0.0309524725273371,0.00075,0.00168737139427638,0.24009266073174,0.0192488399986095,0.142366065063743,0.0430150800857748,2.01849156841779,0.261305993552576,1.1092711097046,0.410652205958953
1,0.2155,0.0302260005808098,0,0,0.25977354735689,0.0174751448397759,0.185741460061499,0.0404052474446743,2.24542812610808,0.243254147621622,1.60814399630702,0.40908574899022
2,0.1285,0.0324935891112898,0,0,0.314723938319229,0.0166539470712729,0.280130895428303,0.0424632272444287,2.85308183997242,0.202860057689126,2.59188599133199,0.396761045376027
3,0.084,0.0265413723165258,0,0,0.382515029342133,0.0212801170495785,0.37626082852974,0.052942927078355,3.58999054707271,0.163552281988115,3.54073767935631,0.373461617309132
4,0.0455,0.0217881211264813,0,0,0.45680367575916,0.028533445598432,0.471983150368203,0.0671479892960021,4.39986462124577,0.131611264651748,4.46494291548133,0.368604401489249
5,0.0255,0.0142302494707577,0,0,0.532641229370991,0.0362942741936434,0.564316722460189,0.0775257199671395,5.22924027214239,0.101609502448975,5.34654923968385,0.402452885474943
