gamma,mean_viol_DLR,std_viol_DLR,mean_viol_DLR2obf,std_viol_DLR2obf,mean_relerr_DLR,std_relerr_DLR,mean_relerr_DLR2obf,std_relerr_DLR2obf,mean_abs_error_DLR,std_abs_error_DLR,mean_abs_error_DLR2obf,std_abs_error_DLR2obf
0,0.379,0.0630608172058265,0.17575,0.0707013476219199,0.224235663850892,0.0295689581843999,0.160619934999884,0.0427043595743827,1.47095041567585,0.254145610592398,0.774351646370476,0.39577818256475
0.1,0.348,0.0644291169511977,0.00925,0.0130197499549296,0.227968576687603,0.028819881108833,0.167543209580471,0.0436947594338925,1.49364595447554,0.25145791203725,0.863284064189328,0.397843236260346
0.25,0.311,0.0628401853027892,0,0,0.234490348423711,0.0276668560437486,0.179057108544173,0.0452877153491999,1.53795593788381,0.24627092547947,1.01215966157215,0.397821455984939
0.5,0.2535,0.055879334283794,0,0,0.247583467141918,0.0257748114254767,0.200583520467049,0.0483371285441895,1.63550008876072,0.232964467517065,1.25890241965173,0.398132658880538
1,0.1765,0.0489926298312081,0,0,0.280555465343283,0.0228526484380923,0.248741271146705,0.056141102528761,1.89578677153531,0.199966233804385,1.73661938446068,0.403695036268788
2,0.076,0.0351030229784021,0,0,0.363327489764601,0.0245810934845357,0.351678031429943,0.0746324967348234,2.58895578948339,0.135033119654515,2.63176932364854,0.434234753214325
3,0.0235,0.0131339255365637,0,0,0.453184425563843,0.0317928081247484,0.450291168700643,0.0912087505644367,3.35297562520437,0.126920094009042,3.41619252782952,0.509803285047528
4,0.0035,0.00474341649025257,0,0,0.538266636176751,0.039172088753846,0.542423605811917,0.105456864931418,4.06143722157529,0.172577543958211,4.11567598469729,0.639652457637093
5,0.001,0.00210818510677892,0,0,0.616081590856608,0.0433275040839416,0.622994284254054,0.11294199247021,4.66432391324433,0.247282473528084,4.71171037463158,0.823602495762134
