epsilon_index,epsilon_total,region_id,success,server_runtime_sec,nr_iterations,mem_before_bytes,mem_after_bytes,mem_delta_bytes,mem_delta_kb,mem_delta_mb,mem_delta_mb_nonnegative
1,10,1,1,1.1493966,2,3940720640,4023103488,82382848,80452,78.56640625,78.56640625
1,10,2,1,0.5638684,2,4021506048,4021514240,8192,8,0.0078125,0.0078125
1,10,3,1,0.5684893,2,3973406720,3973406720,0,0,0,0
1,10,4,1,0.5477316,2,3925737472,3925741568,4096,4,0.00390625,0.00390625
2,7,1,1,0.551921,2,3894689792,3894689792,0,0,0,0
2,7,2,1,0.552626,2,3859533824,3859537920,4096,4,0.00390625,0.00390625
2,7,3,1,0.5679984,2,3818160128,3825000448,6840320,6680,6.5234375,6.5234375
2,7,4,1,0.5466125,2,3797909504,3797909504,0,0,0,0
3,4,1,1,0.5321109,2,3818635264,3819364352,729088,712,0.6953125,0.6953125
3,4,2,1,0.5482027,2,3821797376,3832684544,10887168,10632,10.3828125,10.3828125
3,4,3,1,0.550889,2,3833249792,3833249792,0,0,0,0
3,4,4,1,0.5386178,2,3833769984,3833839616,69632,68,0.06640625,0.06640625
