gamma,mean_viol_DLR,std_viol_DLR,mean_viol_DLR2obf,std_viol_DLR2obf,mean_relerr_DLR,std_relerr_DLR,mean_relerr_DLR2obf,std_relerr_DLR2obf,mean_abs_error_DLR,std_abs_error_DLR,mean_abs_error_DLR2obf,std_abs_error_DLR2obf
0,0.3475,0.0409097923621119,0.245,0.0544416099035369,0.208635104837243,0.0157028614591567,0.115246744993134,0.0484640496316924,1.46539979144959,0.178486905949231,0.648383013292015,0.277782593773017
0.1,0.318,0.038815804341359,0.0565,0.0364424965604108,0.21127350225083,0.0151328056731855,0.121270207158361,0.0488877276417567,1.49379857953282,0.176830198350406,0.723415842033878,0.280281995939906
0.25,0.283,0.0394546152771341,0.00775,0.0118702475870463,0.216090177074123,0.0142708182491427,0.131421609925889,0.0493167231784649,1.5460783059383,0.173389462210614,0.866138565461679,0.280696555580885
0.5,0.2385,0.0348050124104114,0.00075,0.00168737139427638,0.226231817388762,0.0129252137883581,0.150517945319366,0.0498632217547708,1.65343236566056,0.166293416587716,1.11437789264891,0.280159320049213
1,0.172,0.0319026296373477,0,0,0.253173234761775,0.0113528797964849,0.193543310184443,0.0514470024089621,1.92390732218772,0.153772165951199,1.61289502590921,0.278584756384109
2,0.092,0.0223855111871744,0,0,0.325050650322856,0.0151138232527797,0.287295166363438,0.0576366208323005,2.61346150737347,0.131054833242378,2.59539591220029,0.26990460432011
3,0.05,0.0124721912892465,0,0,0.409149994381984,0.0232086411954552,0.381624522561198,0.0654333968543944,3.405817864857,0.113032913764381,3.52744188867879,0.266720798417249
4,0.0185,0.0100138792571999,0,0,0.496680983118115,0.0304439017509689,0.473245547059717,0.0732706951771078,4.23736325596365,0.118591959587894,4.40119338512354,0.284035558917587
5,0.009,0.00516397779494322,0,0,0.58137707167796,0.0347301370844018,0.561066187549527,0.0800036757596649,5.02847935766136,0.159655820433542,5.21960351187859,0.354239324344743
