gamma,mean_viol_DLR,std_viol_DLR,mean_viol_DLR2obf,std_viol_DLR2obf,mean_relerr_DLR,std_relerr_DLR,mean_relerr_DLR2obf,std_relerr_DLR2obf,mean_abs_error_DLR,std_abs_error_DLR,mean_abs_error_DLR2obf,std_abs_error_DLR2obf
0,0.4005,0.0641807343886518,0.21225,0.102357285470497,0.247222274331282,0.0142726539641704,0.183201052308723,0.0478231759205744,1.89774938720221,0.2389571982476,0.9749344149687,0.408806898063623
0.1,0.381,0.0563126194658987,0.01325,0.00897914249803399,0.250209655085531,0.0140496580766847,0.189989879190885,0.0487531896749156,1.9149554810885,0.242154669277884,1.06212956925156,0.412434223366084
0.25,0.3535,0.0475540628010782,0,0,0.255388628968025,0.0136912678923149,0.201005921668153,0.0502130016023958,1.94734201063583,0.244433631615193,1.2102368769761,0.412447595535099
0.5,0.3195,0.0378923914966228,0,0,0.265753670651037,0.0130673650575695,0.221098324100342,0.0527831217126118,2.0164761755654,0.243899884817973,1.45352125557234,0.410442997310489
1,0.2435,0.0299119076994802,0,0,0.292082821810848,0.0120138973332058,0.265526098892978,0.0586678367060627,2.21266262718775,0.230097248395224,1.92627326078533,0.40050958974669
2,0.1275,0.0413823633931171,0,0,0.360750475370457,0.0126828548252903,0.359562954462764,0.0706030203368598,2.78836184579199,0.174295301811732,2.8003255732616,0.410773165815846
3,0.0505,0.0282302044704682,0,0,0.441263941711341,0.0175381236931897,0.4540034398479,0.081834842588391,3.55303016978155,0.124534247999102,3.60565113848151,0.451005488275404
4,0.016,0.0110050493461461,0,0,0.524569435053119,0.0226118783393325,0.543005237326912,0.0899102930191027,4.35397740586406,0.13219283954953,4.32480583560227,0.526863745459237
5,0.0035,0.00241522945769824,0,0,0.603166044165831,0.0246110081397743,0.624629152988355,0.0961527396338404,5.08209323757278,0.196354808725596,4.96037667376625,0.644082775477971
