user_id,gamma,max_over_DLR,max_over_DLR2obf,viol_DLR,viol_DLR2obf,relerr_DLR,relerr_DLR2obf,abs_error_DLR,abs_error_DLR2obf
1,0,10.5115121478353,0.574544191023472,0.455,0.33,0.202781464742189,0.0633459594196362,1.31205317671819,0.316926352249542
1,0.1,10.5115121478353,0.574544191023472,0.41,0.23,0.204587726324899,0.0698549997270635,1.31976607305414,0.361881156800904
1,0.25,10.5115121478353,0.574544191023472,0.325,0.0725,0.208134482908218,0.0826017770574273,1.35212124074325,0.469736518766535
1,0.5,10.5115121478353,0.574544191023472,0.225,0.0075,0.216147968495042,0.10816808082957,1.45094697813598,0.69863844832548
1,1,10.5115121478353,0.574544191023472,0.135,0,0.238999851950567,0.165538529102552,1.75079071682707,1.17333596378546
1,2,10.5115121478353,0.574544191023472,0.075,0,0.30348409613704,0.288460636720377,2.47869232297406,2.12333596378546
1,3,10.5115121478353,0.574544191023472,0.04,0,0.378610072213226,0.403622833127386,3.25487565324933,2.97848492076147
1,4,10.5115121478353,0.574544191023472,0.03,0,0.455934040958803,0.500489960513502,4.00709919871716,3.66206085232975
1,5,10.5115121478353,0.574544191023472,0.005,0,0.531069394696055,0.577993996094184,4.71554622961896,4.1850285105631
2,0,3.67451393942747,0.247642633280596,0.295,0.3425,0.166309513903748,0.0856633295352452,1.10828129776154,0.304704531106528
2,0.1,3.67451393942747,0.247642633280596,0.26,0.095,0.170266451938945,0.0903989079813437,1.14786499816803,0.363264297246066
2,0.25,3.67451393942747,0.247642633280596,0.215,0,0.177221935600045,0.0996932629447544,1.21824987959171,0.502876219558558
2,0.5,3.67451393942747,0.247642633280596,0.175,0,0.191190540131312,0.119414341746756,1.35988905505398,0.752876219558558
2,1,3.67451393942747,0.247642633280596,0.115,0,0.225917204737282,0.167498760552823,1.68754936820094,1.25261815894619
2,2,3.67451393942747,0.247642633280596,0.05,0,0.309959784157238,0.262197196298146,2.46432568261585,2.09242895321689
2,3,3.67451393942747,0.247642633280596,0.01,0,0.394927972831786,0.338787544756403,3.23008808894998,2.6630422837948
2,4,3.67451393942747,0.247642633280596,0,0,0.476974080229272,0.414727932176163,3.95201370887897,3.18647564368322
2,5,3.67451393942747,0.247642633280596,0,0,0.554321127903437,0.486942863350452,4.60022785252071,3.65730701651275
3,0,6.77076341950527,0.214429632570548,0.345,0.25,0.157577402042549,0.163441655144208,1.07515667705309,0.770572482190227
3,0.1,6.77076341950527,0.214429632570548,0.335,0.0125,0.160360010702121,0.169959446892917,1.10202530574066,0.854814400106168
3,0.25,6.77076341950527,0.214429632570548,0.3,0,0.165599213168001,0.180700610475381,1.14926457820965,1.0037359854931
3,0.5,6.77076341950527,0.214429632570548,0.2,0,0.176874641327245,0.200703866389005,1.25901071042492,1.2537359854931
3,1,6.77076341950527,0.214429632570548,0.13,0,0.206917737655324,0.246191167186002,1.57730225834999,1.7537359854931
3,2,6.77076341950527,0.214429632570548,0.03,0,0.284685636600385,0.346788247187518,2.38188200285087,2.72629179752629
3,3,6.77076341950527,0.214429632570548,0.015,0,0.365126859079524,0.449036351497454,3.18017359472992,3.62924725642708
3,4,6.77076341950527,0.214429632570548,0.01,0,0.434880039900572,0.554232155759216,3.81084861175682,4.52924725642708
3,5,6.77076341950527,0.214429632570548,0.01,0,0.505145818866926,0.661094526735598,4.41132905298772,5.42924725642708
4,0,4.27903977752526,0.261651910802225,0.5,0.1175,0.157138779026257,0.0794111121643108,0.905350521625211,0.457457409323541
4,0.1,4.27903977752526,0.261651910802225,0.43,0.01,0.160773560804304,0.0867623920743078,0.906741167541856,0.548891546646843
4,0.25,4.27903977752526,0.261651910802225,0.34,0.0025,0.167662866474285,0.0990846399261834,0.934941651714496,0.697673142232633
4,0.5,4.27903977752526,0.261651910802225,0.18,0,0.182465606671466,0.121795989715107,1.04776740828174,0.944284723984913
4,1,4.27903977752526,0.261651910802225,0.075,0,0.221253879004445,0.170590881673059,1.40283676270412,1.42131226283883
4,2,4.27903977752526,0.261651910802225,0.02,0,0.317727634482798,0.273957271363991,2.2568589087924,2.37131226283883
4,3,4.27903977752526,0.261651910802225,0.005,0,0.414752465381371,0.379887073303819,3.0326862640995,3.32131226283883
4,4,4.27903977752526,0.261651910802225,0.005,0,0.507306960947572,0.486531395102727,3.72169344299557,4.26950069520155
4,5,4.27903977752526,0.261651910802225,0,0,0.594076895920827,0.585988821759815,4.3410873525298,5.13858203914502
5,0,5.98954731842354,0.165146591805327,0.335,0.1575,0.164817436783027,0.0317051639282024,1.12725936142962,0.202183830052948
5,0.1,5.98954731842354,0.165146591805327,0.31,0.0225,0.167168361328189,0.0405463173314536,1.15732120364637,0.290051813275717
5,0.25,5.98954731842354,0.165146591805327,0.25,0,0.1715828026924,0.0555077486811343,1.2152652308999,0.434950912383109
5,0.5,5.98954731842354,0.165146591805327,0.19,0,0.181104440181526,0.0817464223915433,1.34505887550201,0.668641775941947
5,1,5.98954731842354,0.165146591805327,0.105,0,0.206789763977166,0.134277951962462,1.67612466588581,1.11026491186142
5,2,5.98954731842354,0.165146591805327,0.06,0,0.271100424409915,0.225838458164886,2.40640449086779,1.84559547650825
5,3,5.98954731842354,0.165146591805327,0.03,0,0.338484322428323,0.292753671023902,3.06212503835001,2.32467402686063
5,4,5.98954731842354,0.165146591805327,0.03,0,0.405584497517866,0.361457173229911,3.68502515906374,2.77467402686063
5,5,5.98954731842354,0.165146591805327,0.01,0,0.475294475927936,0.4322022943676,4.33259912707718,3.21892495034076
6,0,3.99878540760553,0.103746452403744,0.38,0.3075,0.163845855260051,0.128359645434349,1.17695286394723,0.54694830773031
6,0.1,3.99878540760553,0.103746452403744,0.34,0.0025,0.167738681491205,0.136413617160261,1.19992704374409,0.629880943597283
6,0.25,3.99878540760553,0.103746452403744,0.295,0,0.174645336950626,0.149989771158178,1.24526466638503,0.779862211335264
6,0.5,3.99878540760553,0.103746452403744,0.23,0,0.188639726478934,0.175545257675474,1.3512630428061,1.02986221133526
6,1,3.99878540760553,0.103746452403744,0.115,0,0.223692023874774,0.233130798191758,1.65168799952665,1.52986221133526
6,2,3.99878540760553,0.103746452403744,0.035,0,0.309843657781652,0.356031104273393,2.4711017411636,2.49658115223999
6,3,3.99878540760553,0.103746452403744,0.025,0,0.39703291877771,0.462581802427439,3.23834807761949,3.23843559012484
6,4,3.99878540760553,0.103746452403744,0,0,0.474632386158438,0.564860777592667,3.89741330268961,3.90728495571155
6,5,3.99878540760553,0.103746452403744,0,0,0.546832921235396,0.641705945422781,4.48288595227742,4.39155695743089
7,0,4.57033602742535,0.0932675209434352,0.31,0.1425,0.173518807808297,0.120282800846125,1.15337466483775,0.860178992602231
7,0.1,4.57033602742535,0.0932675209434352,0.29,0,0.177215884869224,0.128864350904243,1.18814855428181,0.949200832216947
7,0.25,4.57033602742535,0.0932675209434352,0.25,0,0.183874291455515,0.142333941611568,1.24813220097467,1.09920083221695
7,0.5,4.57033602742535,0.0932675209434352,0.21,0,0.197589350793747,0.165933144021103,1.36899112047367,1.34899710683706
7,1,4.57033602742535,0.0932675209434352,0.135,0,0.232588905165447,0.214779756448061,1.67667153915621,1.82623422690164
7,2,4.57033602742535,0.0932675209434352,0.035,0,0.320280362259775,0.311060705705735,2.4464183984524,2.69141502502165
7,3,4.57033602742535,0.0932675209434352,0.02,0,0.413320344123389,0.399341407743816,3.27259857751795,3.41593664873872
7,4,4.57033602742535,0.0932675209434352,0.015,0,0.502495541042734,0.478384281898494,4.02320849295392,4.03754913274795
7,5,4.57033602742535,0.0932675209434352,0,0,0.585158923069209,0.550646281874981,4.69097953526358,4.58705067633643
8,0,5.67392293591882,0.119993895135201,0.32,0.2175,0.164666921248424,0.0567966081159062,1.00910829450302,0.308120285320753
