gamma,mean_viol_DLR,std_viol_DLR,mean_viol_DLR2obf,std_viol_DLR2obf,mean_relerr_DLR,std_relerr_DLR,mean_relerr_DLR2obf,std_relerr_DLR2obf,mean_abs_error_DLR,std_abs_error_DLR,mean_abs_error_DLR2obf,std_abs_error_DLR2obf
0,0.3625,0.0570209513151867,0.171,0.0773717576954853,0.226515542477906,0.0265057067514408,0.177887249857677,0.0567893549856845,1.63135108510743,0.339273294742768,1.30487315383949,1.09836196844327
0.1,0.3385,0.0602333425567231,0.0265,0.0187897726318217,0.229943248416071,0.0260712652994753,0.184503343895177,0.0573211331203741,1.65623394256709,0.331374260557237,1.39000979694933,1.10326050363528
0.25,0.3055,0.0625144427756943,0.002,0.00329140294302192,0.235889716384253,0.0253988073405976,0.195258858053239,0.0578973865032399,1.70251470693904,0.318226063943614,1.5369558563337,1.1035498604369
0.5,0.2715,0.0604634876047796,0,0,0.247756844494663,0.0243472490453592,0.214920402405374,0.0585817382084571,1.79520136602984,0.295433289470102,1.78503504329863,1.10371809092567
1,0.199,0.0557673739743947,0,0,0.277559751870273,0.0233302556722764,0.258191865439453,0.060369840980115,2.0377214606452,0.250748921789774,2.27119417477778,1.10770155492757
2,0.0935,0.0383731677086998,0,0,0.352776715053678,0.0281257986442045,0.34974296538672,0.0701021574934024,2.69767307138563,0.201265099674882,3.18230109140748,1.12467765130295
3,0.035,0.0164991582276861,0,0,0.436177233291022,0.0371686157278498,0.439553321637922,0.0850647282572257,3.45845427193255,0.209221950935911,4.01036390167407,1.18276401174138
4,0.01,0.00912870929175277,0,0,0.519286635323627,0.045668072390656,0.523543245948645,0.0963161584079414,4.21451131836885,0.25649015458898,4.75170939900966,1.27410869853873
5,0.0025,0.00353553390593274,0,0,0.595662548838129,0.0495978359651687,0.599941064217793,0.107545887555244,4.87054324634083,0.345380945933447,5.40843126989301,1.41125849998572
