gamma,mean_viol_DLR,std_viol_DLR,mean_viol_DLR2obf,std_viol_DLR2obf,mean_relerr_DLR,std_relerr_DLR,mean_relerr_DLR2obf,std_relerr_DLR2obf,mean_abs_error_DLR,std_abs_error_DLR,mean_abs_error_DLR2obf,std_abs_error_DLR2obf
0,0.401,0.0642391365653888,0.2195,0.104508107075214,0.247103843136971,0.0142419899359672,0.183046779234535,0.0478877064849593,1.89694384233841,0.238661096314536,0.972839319207922,0.409102043853776
0.1,0.382,0.0568233128996268,0.013,0.0088034084308295,0.250085059211218,0.0140162798314783,0.189829036124974,0.0488202827069384,1.91403966389769,0.241896792593278,1.06028967973396,0.412816278014938
0.25,0.3535,0.0475540628010782,0,0,0.255255401690159,0.0136540135572862,0.20083664486929,0.0502830999714569,1.94629496112889,0.244241624843565,1.20841755026688,0.412798869978729
0.5,0.3195,0.0378923914966228,0,0,0.26560772032135,0.0130241750813752,0.220918756761638,0.0528570610584594,2.01529644752291,0.243752614218818,1.45170277284489,0.410779490688893
1,0.244,0.0305323143934786,0,0,0.291917293415179,0.011961344197398,0.265333982218532,0.0587433873850007,2.21129689949568,0.230081957348711,1.92445127104373,0.400845122405175
2,0.1275,0.0413823633931171,0,0,0.36056125267346,0.012630742134003,0.359364143517439,0.0706760878494864,2.78682241005482,0.174337121576227,2.7985527997342,0.410892832423001
3,0.0505,0.0282302044704682,0,0,0.441058937783199,0.0174949675204321,0.453802529873035,0.0819070772777285,3.5512094318627,0.124700679525267,3.60390379417923,0.450836942985202
4,0.016,0.0110050493461461,0,0,0.524354626659453,0.0225661283887301,0.542806117438117,0.0899820660627748,4.35204641963314,0.132172056973647,4.32309337666985,0.526325836952312
5,0.0035,0.00241522945769824,0,0,0.602945528207069,0.0245619629616758,0.624425739827365,0.0962224940884151,5.08021187553046,0.196272542390313,4.9586817841185,0.64334940860587
