user_id,gamma,max_over_DLR,max_over_DLR2obf,viol_DLR,viol_DLR2obf,relerr_DLR,relerr_DLR2obf,abs_error_DLR,abs_error_DLR2obf
1,0,9.19896628855444,0.651138545037581,0.34,0.25,0.201829847874937,0.111249412135675,1.75018094408423,0.809691035368069
1,0.1,9.19896628855444,0.651138545037581,0.325,0.0825,0.203960203169268,0.116769660295755,1.77920547311824,0.882199081464175
1,0.25,9.19896628855444,0.651138545037581,0.29,0.035,0.2077288500629,0.125758851625292,1.83143132041256,1.01739809320052
1,0.5,9.19896628855444,0.651138545037581,0.265,0.0075,0.215445074495174,0.142223956562111,1.93033225735799,1.25924002986249
1,1,9.19896628855444,0.651138545037581,0.17,0,0.235574069110775,0.178809697516076,2.19361233278546,1.7581096082355
1,2,9.19896628855444,0.651138545037581,0.1,0,0.289558411568825,0.258826914515259,2.88068078305613,2.75248904482152
1,3,9.19896628855444,0.651138545037581,0.06,0,0.354558182732945,0.340934051447618,3.67558563512228,3.71544340106518
1,4,9.19896628855444,0.651138545037581,0.05,0,0.424674940739333,0.422089404720593,4.4996547857495,4.63553058617088
1,5,9.19896628855444,0.651138545037581,0.015,0,0.496208199271152,0.503092551320933,5.33225555231255,5.53642312251387
2,0,4.42088868176343,0.866099723851104,0.35,0.3025,0.178670180613284,0.152368458602718,1.37207233316268,0.906101974896607
2,0.1,4.42088868176343,0.866099723851104,0.33,0.135,0.181099750367912,0.158225055318192,1.39958795828206,0.966026467641523
2,0.25,4.42088868176343,0.866099723851104,0.285,0.0475,0.185629283460087,0.167791711834297,1.45114913471026,1.09023222409551
2,0.5,4.42088868176343,0.866099723851104,0.245,0.01,0.195345937376143,0.18545394740747,1.55950803409171,1.32711704283418
2,1,4.42088868176343,0.866099723851104,0.18,0,0.221502742181875,0.22533302621389,1.8295935053728,1.82372503030659
2,2,4.42088868176343,0.866099723851104,0.1,0,0.291323886921037,0.314885606014408,2.5055725032795,2.82372503030659
