epsilon_index,epsilon_total,region_id,success,server_runtime_sec,nr_iterations,mem_before_bytes,mem_after_bytes,mem_delta_bytes,mem_delta_kb,mem_delta_mb,mem_delta_mb_nonnegative
1,10,1,1,5.651552,2,5116694528,5116698624,4096,4,0.00390625,0.00390625
1,10,2,1,5.5683076,2,5120131072,5120131072,0,0,0,0
1,10,3,1,5.6119795,2,5090971648,5090971648,0,0,0,0
1,10,4,1,5.5711481,2,5094100992,5094100992,0,0,0,0
2,7,1,1,5.4282115,2,5077123072,5077155840,32768,32,0.03125,0.03125
2,7,2,1,5.4378969,2,5036048384,5036048384,0,0,0,0
2,7,3,1,5.7286278,2,5010472960,5010472960,0,0,0,0
2,7,4,1,5.4933703,2,4958838784,4958310400,-528384,-516,-0.50390625,NaN
3,4,1,1,5.5478774,2,4865622016,4865622016,0,0,0,0
3,4,2,1,5.496308,2,4819218432,4819218432,0,0,0,0
3,4,3,1,5.6421633,2,4789309440,4789374976,65536,64,0.0625,0.0625
3,4,4,1,5.5698816,2,4765671424,4765679616,8192,8,0.0078125,0.0078125
