gamma,mean_viol_DLR,std_viol_DLR,mean_viol_DLR2obf,std_viol_DLR2obf,mean_relerr_DLR,std_relerr_DLR,mean_relerr_DLR2obf,std_relerr_DLR2obf,mean_abs_error_DLR,std_abs_error_DLR,mean_abs_error_DLR2obf,std_abs_error_DLR2obf
0,0.377,0.0240601099101581,0.2575,0.0858697333820894,0.227774238136954,0.0207241103617687,0.108318156866114,0.0442760208202849,1.87948888967099,0.27190127349612,0.663299828888208,0.403940140328213
0.1,0.358,0.0286937856222098,0.0845,0.0683414629310461,0.229651403276999,0.020506041081626,0.113910285162303,0.0447112700357428,1.90107226420175,0.270144581878922,0.733263736311126,0.409205512939535
0.25,0.3295,0.0333708122632805,0.01875,0.0238993839995,0.23308785353834,0.0201040741975892,0.123802377106773,0.044454264292107,1.9404104773298,0.266994734354988,0.869774086622348,0.410945106601107
0.5,0.2885,0.0301892180900548,0.00075,0.00168737139427638,0.240382205304065,0.0192910948271032,0.142932734240521,0.043022298432757,2.02193413303192,0.26141596938174,1.11634876068728,0.411199341376654
1,0.215,0.03,0,0,0.260166842121625,0.0175667446475952,0.186374307443722,0.0403920323392109,2.25020670628113,0.243310628768366,1.61517180798476,0.40960577750931
2,0.1275,0.0319069828651277,0,0,0.315254836314137,0.0168697972934683,0.280810657805671,0.0424327513614253,2.85925057121876,0.203304879798469,2.59892991347248,0.397317085138444
3,0.0825,0.0260608262851865,0,0,0.383122710742294,0.021532877721295,0.376950896383006,0.0529032056474754,3.59672064471875,0.164404587590019,3.54764279729063,0.373905403808992
4,0.0455,0.0217881211264813,0,0,0.457457572923052,0.0287731156831567,0.472675603212108,0.0670964510884097,4.40709253595212,0.132552476594892,4.4717581172474,0.369039163042598
5,0.0255,0.0142302494707577,0,0,0.533322615921928,0.036488591797219,0.565007521487436,0.0774610974014746,5.23667125826752,0.10244929107569,5.35325734649828,0.40305331062163
