grid_index,y,x
1345,51.3457495,-0.1355885
1346,51.3456452,-0.1260365
1347,51.345137,-0.1179386
1348,51.3457643,-0.1095454
1349,51.3454514,-0.1012436
1350,51.3453761,-0.0936352
1351,51.3447317,-0.0860609
1352,51.3453822,-0.0769805
1353,51.345355,-0.0686141
1354,51.345,-0.059684
1355,51.3452701,-0.0520329
1356,51.3452791,-0.0439108
1357,51.3455472,-0.0357776
1359,51.3451868,-0.0196161
1360,51.344897,-0.0103882
1361,51.3444507,-0.0027587
1365,51.3438216,0.0326586
1367,51.3435745,0.0506489
1368,51.3459921,0.0512679
1371,51.3440125,0.082969
1374,51.3448406,0.1042083
1375,51.3447778,0.1125052
1376,51.3448339,0.1221038
1378,51.3461546,0.1369011
1423,51.3495525,-0.3135075
1424,51.3489731,-0.3096097
1434,51.3513344,-0.2220002
1435,51.3506391,-0.2164313
1436,51.3498276,-0.2095844
1437,51.3493214,-0.2004662
1438,51.3493747,-0.1927308
1439,51.348661,-0.1829074
1440,51.3498491,-0.1742638
1441,51.3494193,-0.1673646
1442,51.3491572,-0.1585946
1443,51.3492331,-0.1512133
1444,51.3495615,-0.1432604
1445,51.3494872,-0.1337242
1446,51.34944,-0.127572
1448,51.3498448,-0.1096734
1449,51.3493609,-0.1007019
1450,51.349791,-0.0936799
1451,51.3490105,-0.0845566
1452,51.3485492,-0.0784513
1453,51.3479457,-0.0676504
1454,51.3474768,-0.0587617
1455,51.3494065,-0.0524112
1456,51.3497941,-0.0441875
1457,51.3498929,-0.0365787
1458,51.3505912,-0.0237258
1459,51.3489498,-0.0183124
1460,51.3481869,-0.0111171
1462,51.3498916,0.0094108
1465,51.348962,0.0311195
1466,51.3483692,0.0363111
1467,51.3493456,0.0473339
1470,51.348708,0.0714752
1472,51.3497577,0.0879455
1473,51.3492258,0.0961338
1474,51.3501912,0.104395
1475,51.348915,0.1129888
1523,51.3530243,-0.3140573
1524,51.353319,-0.305564
1534,51.3545392,-0.2221938
1535,51.3531576,-0.2154341
1536,51.3537055,-0.2103478
1537,51.3529549,-0.2007986
1538,51.3536025,-0.1922734
1539,51.3535417,-0.1840896
1540,51.353756,-0.176399
1541,51.3529479,-0.1677829
1542,51.3544156,-0.1585285
1543,51.3530217,-0.1519188
1544,51.3535728,-0.1420142
1545,51.353351,-0.1348105
1546,51.3534123,-0.1262943
1547,51.3531678,-0.1166275
1548,51.3537257,-0.1085919
1549,51.3535293,-0.1013303
1550,51.3540045,-0.0947045
1551,51.3534554,-0.0856751
1552,51.3553154,-0.0799756
1553,51.3533264,-0.0689402
1554,51.3523052,-0.0609428
1555,51.3527572,-0.0543894
1556,51.3526561,-0.042498
1557,51.3536072,-0.0368707
1558,51.3544136,-0.0271066
1559,51.3535864,-0.0190585
1560,51.3535054,-0.0107185
1562,51.3541692,0.006793
1565,51.3541902,0.0328855
1569,51.3514167,0.0659285
1570,51.3529274,0.0741775
1571,51.3547317,0.0795208
1572,51.3533398,0.0883141
1573,51.3530612,0.0962364
1574,51.3539656,0.1032112
1575,51.352119,0.1109697
1578,51.3540708,0.1377892
1579,51.3547952,0.1431699
1623,51.3572934,-0.3151302
1624,51.3566398,-0.3062087
1625,51.3574148,-0.2991718
1626,51.3589873,-0.2910659
1634,51.3572156,-0.2220664
1635,51.3571223,-0.2181227
1636,51.3572755,-0.2089292
1637,51.3574119,-0.2015518
1638,51.35674,-0.1923159
1639,51.3571824,-0.1830447
1640,51.3566751,-0.1757373
1641,51.3564047,-0.167622
1642,51.3579351,-0.158303
1643,51.3568271,-0.1510846
1644,51.3576925,-0.143019
1645,51.3568505,-0.1339475
1646,51.3575531,-0.1273827
1647,51.3577779,-0.1174277
1648,51.3582195,-0.1083618
1649,51.3567069,-0.1015959
1650,51.3570758,-0.0942925
1651,51.3564994,-0.0856433
1652,51.3578586,-0.0774996
1653,51.3558189,-0.0668313
