timestamp,stage,elapsed_sec,selected_n,current_n,obf_k,epsilon,nr_agent,matlab_mem_used_bytes,matlab_mem_peak_so_far_bytes,matlab_mem_available_all_arrays_bytes,matlab_max_possible_array_bytes,physical_mem_available_bytes,physical_mem_total_bytes,tracked_vars_bytes,workspace_bytes
06-Aug-2026 14:59:11,start,0.0313083,NaN,NaN,NaN,NaN,NaN,3265462272,3265462272,32528551936,32528551936,30219743232,68393086976,0,3278
06-Aug-2026 14:59:12,after_distance_matrix,1.1932653,NaN,NaN,NaN,NaN,NaN,4150804480,4150804480,31678390272,31678390272,29360705536,68393086976,0,8304
06-Aug-2026 15:00:04,after_selected_set,52.576029,NaN,NaN,NaN,NaN,NaN,4718956544,4718956544,31264415744,31264415744,29159395328,68393086976,0,8494
06-Aug-2026 15:00:37,after_phase1_params,85.9876554,NaN,NaN,NaN,NaN,NaN,5267886080,5267886080,30810300416,30810300416,28892483584,68393086976,0,8528
06-Aug-2026 15:00:53,after_xi_hathat,102.3077857,NaN,NaN,NaN,NaN,NaN,5636382720,5636382720,30407245824,30407245824,28242776064,68393086976,0,8868
06-Aug-2026 15:00:54,after_reduced_problem,102.4128319,NaN,NaN,NaN,NaN,NaN,5349761024,5636382720,30694313984,30694313984,28530655232,68393086976,0,8984
06-Aug-2026 15:01:37,after_cost_and_benchmarks,145.4367259,NaN,NaN,NaN,NaN,NaN,5372313600,5636382720,30283366400,30283366400,28274122752,68393086976,0,9390
06-Aug-2026 15:01:37,after_privacy_budget,145.4993438,NaN,NaN,NaN,NaN,NaN,5372313600,5636382720,30283857920,30283857920,28283260928,68393086976,0,9270
06-Aug-2026 15:01:37,eps4_after_agent_master_2ppo,145.8355938,NaN,NaN,NaN,NaN,NaN,5414379520,5636382720,30244093952,30244093952,28221489152,68393086976,0,9496
06-Aug-2026 15:01:38,eps4_after_benders_2ppo,146.8817771,NaN,NaN,NaN,NaN,NaN,5519003648,5636382720,30188572672,30188572672,28171329536,68393086976,0,10278
06-Aug-2026 15:01:38,eps4_after_agent_master_lb,146.9998546,NaN,NaN,NaN,NaN,NaN,5519446016,5636382720,30150688768,30150688768,28147806208,68393086976,0,9784
06-Aug-2026 15:01:39,eps4_after_benders_lb,147.4765128,NaN,NaN,NaN,NaN,NaN,5505929216,5636382720,30086701056,30086701056,28091842560,68393086976,0,10738
06-Aug-2026 15:01:39,eps7_after_agent_master_2ppo,147.5875024,NaN,NaN,NaN,NaN,NaN,5506981888,5636382720,30081064960,30081064960,28084338688,68393086976,0,10384
06-Aug-2026 15:01:39,eps7_after_benders_2ppo,147.9576674,NaN,NaN,NaN,NaN,NaN,5508222976,5636382720,29970665472,29970665472,27960918016,68393086976,0,11166
06-Aug-2026 15:01:39,eps7_after_agent_master_lb,148.0586206,NaN,NaN,NaN,NaN,NaN,5508222976,5636382720,29963558912,29963558912,27957796864,68393086976,0,10672
06-Aug-2026 15:01:40,eps7_after_benders_lb,148.4454193,NaN,NaN,NaN,NaN,NaN,5508231168,5636382720,29916549120,29916549120,27918000128,68393086976,0,11626
06-Aug-2026 15:01:40,eps10_after_agent_master_2ppo,148.557404,NaN,NaN,NaN,NaN,NaN,5508231168,5636382720,29899767808,29899767808,27896545280,68393086976,0,11274
06-Aug-2026 15:01:40,eps10_after_benders_2ppo,148.8317594,NaN,NaN,NaN,NaN,NaN,5508231168,5636382720,29875802112,29875802112,27875938304,68393086976,0,12056
06-Aug-2026 15:01:40,eps10_after_agent_master_lb,148.9255837,NaN,NaN,NaN,NaN,NaN,5508231168,5636382720,29871169536,29871169536,27868647424,68393086976,0,11578
06-Aug-2026 15:01:40,eps10_after_benders_lb,149.2253686,NaN,NaN,NaN,NaN,NaN,5511086080,5636382720,29839839232,29839839232,27846778880,68393086976,0,12532
06-Aug-2026 15:01:40,finish,149.2742461,NaN,NaN,NaN,NaN,NaN,5511086080,5636382720,29834534912,29834534912,27835650048,68393086976,0,13414
