timestamp,stage,elapsed_sec,selected_n,current_n,obf_k,epsilon,nr_agent,matlab_mem_used_bytes,matlab_mem_peak_so_far_bytes,matlab_mem_available_all_arrays_bytes,matlab_max_possible_array_bytes,physical_mem_available_bytes,physical_mem_total_bytes,tracked_vars_bytes,workspace_bytes
2026-07-10 18:04:51,start,0.0335502,NaN,NaN,NaN,NaN,NaN,3765403648,3765403648,16458444800,16458444800,22103166976,68424036352,0,3270
2026-07-10 18:04:51,after_distance_matrix,0.1911979,NaN,NaN,NaN,NaN,NaN,3861409792,3861409792,16356270080,16356270080,21997850624,68424036352,0,8296
2026-07-10 18:04:52,after_selected_set,1.1607062,NaN,NaN,NaN,NaN,NaN,3898970112,3898970112,16305881088,16305881088,21950627840,68424036352,0,8486
2026-07-10 18:04:54,after_phase1_params,3.1044709,NaN,NaN,NaN,NaN,NaN,3962974208,3962974208,16287645696,16287645696,21956182016,68424036352,0,8520
2026-07-10 18:04:55,after_xi_hathat,4.6430187,NaN,NaN,NaN,NaN,NaN,3994976256,3994976256,16224514048,16224514048,21861400576,68424036352,0,8860
2026-07-10 18:04:55,after_reduced_problem,4.6952547,NaN,NaN,NaN,NaN,NaN,3962974208,3994976256,16252207104,16252207104,21892403200,68424036352,0,8976
2026-07-10 18:05:10,after_cost_and_benchmarks,19.4893586,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16327958528,16327958528,21916688384,68424036352,0,9382
2026-07-10 18:05:10,after_privacy_budget,19.530603,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16325775360,16325775360,21916229632,68424036352,0,9262
2026-07-10 18:05:10,eps4_after_agent_master_2ppo,19.6020287,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16321220608,16321220608,21915754496,68424036352,0,9488
2026-07-10 18:05:10,eps4_after_benders_2ppo,19.6890846,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16320229376,16320229376,21916098560,68424036352,0,10270
2026-07-10 18:05:10,eps4_after_agent_master_lb,19.7485382,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16249884672,16249884672,21871099904,68424036352,0,9776
2026-07-10 18:05:11,eps4_after_benders_lb,19.8361621,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16250015744,16250015744,21868048384,68424036352,0,10730
2026-07-10 18:05:11,eps7_after_agent_master_2ppo,19.911131,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16249708544,16249708544,21868593152,68424036352,0,10376
2026-07-10 18:05:11,eps7_after_benders_2ppo,20.0757452,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16249257984,16249257984,21869105152,68424036352,0,11158
2026-07-10 18:05:11,eps7_after_agent_master_lb,20.1349074,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16249626624,16249626624,21868650496,68424036352,0,10664
2026-07-10 18:05:11,eps7_after_benders_lb,20.3193771,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16249798656,16249798656,21868609536,68424036352,0,11618
2026-07-10 18:05:11,eps10_after_agent_master_2ppo,20.3808357,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16250085376,16250085376,21869117440,68424036352,0,11266
2026-07-10 18:05:11,eps10_after_benders_2ppo,20.511088,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16249982976,16249982976,21869191168,68424036352,0,12048
2026-07-10 18:05:11,eps10_after_agent_master_lb,20.5707166,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16249982976,16249982976,21869260800,68424036352,0,11570
2026-07-10 18:05:11,eps10_after_benders_lb,20.7039548,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16248152064,16248152064,21869412352,68424036352,0,12524
2026-07-10 18:05:11,finish,20.7614105,NaN,NaN,NaN,NaN,NaN,3962937344,3994976256,16253427712,16253427712,21876121600,68424036352,0,13406
