osmid,y,x,ref,highway,street_count,geometry
42766863,40.8240911,-73.8079714,,,3,POINT (-73.8079714 40.8240911)
42766866,40.8241147,-73.8077312,,,4,POINT (-73.8077312 40.8241147)
42766870,40.8241651,-73.8072172,,,3,POINT (-73.8072172 40.8241651)
42766895,40.881255,-73.884286,,,3,POINT (-73.884286 40.881255)
42766897,40.883133,-73.882087,,,3,POINT (-73.882087 40.883133)
42766903,40.8662444,-73.8487735,,,3,POINT (-73.8487735 40.8662444)
42766915,40.8089185,-73.8552288,,,3,POINT (-73.8552288 40.8089185)
42766929,40.8071509,-73.9082144,,,4,POINT (-73.9082144 40.8071509)
42766931,40.8090663,-73.9075347,,traffic_signals,4,POINT (-73.9075347 40.8090663)
42766934,40.8107598,-73.9061981,,traffic_signals,3,POINT (-73.9061981 40.8107598)
42766938,40.8121026,-73.9041636,,traffic_signals,4,POINT (-73.9041636 40.8121026)
42766943,40.8129056,-73.9014465,,traffic_signals,4,POINT (-73.9014465 40.8129056)
42766971,40.8163105,-73.8962218,,traffic_signals,4,POINT (-73.8962218 40.8163105)
42766975,40.8193733,-73.8930723,,traffic_signals,4,POINT (-73.8930723 40.8193733)
42766986,40.828547,-73.891891,,traffic_signals,4,POINT (-73.891891 40.828547)
42766989,40.832409,-73.890714,,,4,POINT (-73.890714 40.832409)
42767004,40.840105,-73.886185,,traffic_signals,4,POINT (-73.886185 40.840105)
42767023,40.842723,-73.8856707,,traffic_signals,4,POINT (-73.8856707 40.842723)
42767028,40.8450037,-73.8852015,,,3,POINT (-73.8852015 40.8450037)
42767034,40.846783,-73.88379,,traffic_signals,4,POINT (-73.88379 40.846783)
42767049,40.8502273,-73.882556,,,3,POINT (-73.882556 40.8502273)
42767053,40.851061,-73.882322,,traffic_signals,3,POINT (-73.882322 40.851061)
42767057,40.853348,-73.881668,,traffic_signals,3,POINT (-73.881668 40.853348)
42767103,40.8308831,-73.9193855,,,1,POINT (-73.9193855 40.8308831)
42767109,40.831636,-73.9189401,,,4,POINT (-73.9189401 40.831636)
42767197,40.896914,-73.867068,,,4,POINT (-73.867068 40.896914)
42767200,40.897592,-73.867195,,,4,POINT (-73.867195 40.897592)
42767218,40.899631,-73.867573,,,4,POINT (-73.867573 40.899631)
42767226,40.90099,-73.867827,,,4,POINT (-73.867827 40.90099)
42767286,40.8252265,-73.8274172,,,3,POINT (-73.8274172 40.8252265)
42767295,40.8227088,-73.8206569,,,3,POINT (-73.8206569 40.8227088)
42767301,40.8222095,-73.8196264,,stop,4,POINT (-73.8196264 40.8222095)
