Starting node index,Ending node index,Travel cost from the starting node to the ending node
1.0,2.0,0.00641764099961871
1.0,101.0,0.0030069097093162562
2.0,3.0,0.004353832557646516
2.0,102.0,0.005354723148769318
3.0,4.0,0.004934891845823743
3.0,103.0,0.0024249340815769285
4.0,104.0,0.0033075621143097453
100.0,101.0,0.00547086830402635
100.0,200.0,0.003526631395539807
101.0,102.0,0.005463403517943951
101.0,201.0,0.005169332065172114
102.0,103.0,0.004942372887595044
102.0,202.0,0.0036888908970019846
103.0,104.0,0.00676512975855481
103.0,203.0,0.005268678103658532
104.0,105.0,0.005743941554360747
104.0,204.0,0.003999592530496253
105.0,205.0,0.0038193878148217427
200.0,201.0,0.004296307833476593
200.0,300.0,0.00364114764874835
201.0,202.0,0.006026557827658896
201.0,301.0,0.004728570608542226
202.0,203.0,0.005244971997058795
202.0,302.0,0.0033283001141736802
203.0,204.0,0.0057409749729496334
203.0,303.0,0.004485405778747977
204.0,205.0,0.005178278398263509
204.0,304.0,0.004111948998953748
205.0,305.0,0.0038487392338264963
300.0,301.0,0.005968427129485653
301.0,302.0,0.006333148427130447
301.0,401.0,0.003853160469017041
302.0,303.0,0.006054664317700293
302.0,402.0,0.00492638456679933
303.0,304.0,0.004253839556204388
303.0,403.0,0.0036300260935706436
304.0,305.0,0.005194185330733786
304.0,404.0,0.00487343586497267
308.0,309.0,0.0033981812267759736
308.0,408.0,0.0038609044600985297
309.0,310.0,0.00652655906049096
309.0,409.0,0.0036390738382174027
310.0,410.0,0.003746886265953076
401.0,402.0,0.0036271740101626415
402.0,403.0,0.004477636896856772
402.0,502.0,0.004555535517373089
403.0,404.0,0.0053854754181910545
403.0,503.0,0.004744317055168642
404.0,504.0,0.004008425775793103
407.0,408.0,0.004967408057536059
407.0,507.0,0.003893447030594298
408.0,409.0,0.004776134838961107
408.0,508.0,0.004669552869386454
409.0,410.0,0.005886088494073055
409.0,509.0,0.00328640725413493
410.0,411.0,0.003676582833282291
410.0,510.0,0.004258424142802358
411.0,511.0,0.006185936861135345
502.0,503.0,0.004330708843828814
502.0,602.0,0.004072896504945931
503.0,504.0,0.005430436906919214
503.0,603.0,0.004587394262546262
504.0,505.0,0.005882921662744858
504.0,604.0,0.004412672514472443
505.0,506.0,0.006349065610771676
