osmid,y,x,street_count,highway,ref,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
486573283,48.8196777,2.3416196,3,,,POINT (2.3416196 48.8196777),4,60,460,48.8197437945,2.3411736034999997,0.033470106441050064
49896709,48.8196735,2.3427674,3,,,POINT (2.3427674 48.8196735),4,61,461,48.8197437945,2.3430731705,0.02371205260976972
430775,48.8194879,2.3446021,4,,,POINT (2.3446021 48.8194879),4,62,462,48.8197437945,2.3449727375,0.03931920608017606
169298143,48.8197469,2.3460329,4,,,POINT (2.3460329 48.8197469),4,63,463,48.8197437945,2.3468723044999997,0.0614572060792785
247040832,48.8196824,2.3500617,3,,,POINT (2.3500617 48.8196824),4,65,465,48.8197437945,2.3506714385,0.045160448814363784
1836650585,48.8200378,2.3517282,4,,,POINT (2.3517282 48.8200378),4,66,466,48.8197437945,2.3525710054999998,0.06983033593313352
30657578,48.8199678,2.3567973,3,,,POINT (2.3567973 48.8199678),4,68,468,48.8197437945,2.3563701394999996,0.039981137784337394
442138,48.8193334,2.3619725,4,,,POINT (2.3619725 48.8193334),4,71,471,48.8197437945,2.3620688404999997,0.04617569135780819
259647896,48.8194684,2.363741,3,,,POINT (2.363741 48.8194684),4,72,472,48.8197437945,2.3639684075,0.034856002397022384
15032392,48.819449,2.3734551,4,traffic_signals,,POINT (2.3734551 48.819449),4,77,477,48.8197437945,2.3734662424999997,0.03278980255913167
15032421,48.8200091,2.3756322,2,,,POINT (2.3756322 48.8200091),4,78,478,48.8197437945,2.3753658095,0.0353648541563814
364921411,48.8208951,2.3206322,4,traffic_signals,,POINT (2.3206322 48.8208951),5,49,549,48.8206040155,2.3202783664999997,0.04145724931469121
39859734,48.8206585,2.321712,3,,,POINT (2.321712 48.8206585),5,50,550,48.8206040155,2.3221779335,0.034646108086434604
166414150,48.8205511,2.3242291,4,,,POINT (2.3242291 48.8205511),5,51,551,48.8206040155,2.3240775005,0.012562216023445783
308247454,48.8202529,2.3257189,4,,,POINT (2.3257189 48.8202529),5,52,552,48.8206040155,2.3259770674999998,0.04337689645090103
100294683,48.8209283,2.3299648,4,,,POINT (2.3299648 48.8209283),5,54,554,48.8206040155,2.3297762015,0.038612062641563014
289386181,48.8201969,2.3332824,1,,,POINT (2.3332824 48.8201969),5,56,556,48.8206040155,2.3335753355,0.05009251966692248
259706958,48.8204633,2.3414206,3,,,POINT (2.3414206 48.8204633),5,60,560,48.8206040155,2.3411736034999997,0.023912989536047917
49896707,48.8204578,2.3428366,3,,,POINT (2.3428366 48.8204578),5,61,561,48.8206040155,2.3430731705,0.023755408850349068
247040835,48.8206833,2.3494358,3,,,POINT (2.3494358 48.8206833),5,64,564,48.8206040155,2.3487718715,0.04940106183971144
3745577947,48.8209563,2.3506969,3,,,POINT (2.3506969 48.8209563),5,65,565,48.8206040155,2.3506714385,0.03921657785609597
1836650598,48.8202251,2.3528455,4,traffic_signals,,POINT (2.3528455 48.8202251),5,66,566,48.8206040155,2.3525710054999998,0.046680867931519106
247060051,48.8203333,2.3540428,3,,,POINT (2.3540428 48.8203333),5,67,567,48.8206040155,2.3544705725,0.043439517428441404
168363585,48.8205586,2.356291,3,,,POINT (2.356291 48.8205586),5,68,568,48.8206040155,2.3563701394999996,0.007685896844396954
251517741,48.8204187,2.3590687,3,,,POINT (2.3590687 48.8204187),5,69,569,48.8206040155,2.3582697065,0.06201996116753812
251517742,48.8207714,2.3610775,3,,,POINT (2.3610775 48.8207714),5,70,570,48.8206040155,2.3601692735,0.06904950075086826
1774155334,48.820591,2.3659933,3,,,POINT (2.3659933 48.820591),5,73,573,48.8206040155,2.3658679745,0.00928887433985106
15035518,48.8210158,2.3702865,3,,,POINT (2.3702865 48.8210158),5,75,575,48.8206040155,2.3696671085,0.06444333350864435
259642673,48.8206737,2.3720385,3,,,POINT (2.3720385 48.8206737),5,76,576,48.8206040155,2.3715666755,0.03540197039304267
15032401,48.8207002,2.373619,3,,,POINT (2.373619 48.8207002),5,77,577,48.8206040155,2.3734662424999997,0.015474665391355379
15035501,48.8210133,2.3756043,3,,,POINT (2.3756043 48.8210133),5,78,578,48.8206040155,2.3753658095,0.048744863578823704
169165774,48.820768,2.3770686,3,,,POINT (2.3770686 48.820768),5,79,579,48.8206040155,2.3772653765,0.023238677216406572
25239053,48.8218171,2.3170789,3,,,POINT (2.3170789 48.8218171),6,47,647,48.8214642365,2.3164792325,0.05888071245849786
268401942,48.8211174,2.3196474,3,,,POINT (2.3196474 48.8211174),6,49,649,48.8214642365,2.3202783664999997,0.060177048038364996
128064623,48.821235,2.3214717,3,,,POINT (2.3214717 48.821235),6,50,650,48.8214642365,2.3221779335,0.05764634592608298
251490191,48.8216776,2.3266816,3,,,POINT (2.3266816 48.8216776),6,52,652,48.8214642365,2.3259770674999998,0.05677456499610058
251481403,48.8212727,2.32866,3,,,POINT (2.32866 48.8212727),6,53,653,48.8214642365,2.3278766345,0.061178415187421495
1773530002,48.8214843,2.3338923,3,,,POINT (2.3338923 48.8214843),6,56,656,48.8214642365,2.3335753355,0.023312461587127103
247039559,48.8211717,2.3411554,3,,,POINT (2.3411554 48.8211717),6,60,660,48.8214642365,2.3411736034999997,0.032555864103426195
3747261246,48.8215379,2.3430072,4,,,POINT (2.3430072 48.8215379),6,61,661,48.8214642365,2.3430731705,0.009508921081410942
1773477751,48.8212363,2.3481385,3,,,POINT (2.3481385 48.8212363),6,64,664,48.8214642365,2.3487718715,0.05284493248565727
558457800,48.8211505,2.3505435,3,,,POINT (2.3505435 48.8211505),6,65,665,48.8214642365,2.3506714385,0.03612146004311788
1835212510,48.8215919,2.3525583,3,traffic_signals,,POINT (2.3525583 48.8215919),6,66,666,48.8214642365,2.3525710054999998,0.014225977033309583
246998489,48.8215952,2.3539735,1,,,POINT (2.3539735 48.8215952),6,67,667,48.8214642365,2.3544705725,0.039196948858426624
168357230,48.8210593,2.3608908,3,,,POINT (2.3608908 48.8210593),6,70,670,48.8214642365,2.3601692735,0.0694105738808831
168357786,48.8218222,2.3633358,3,,,POINT (2.3633358 48.8218222),6,72,672,48.8214642365,2.3639684075,0.06106820567319024
382017,48.8215316,2.3694427,5,,,POINT (2.3694427 48.8215316),6,75,675,48.8214642365,2.3696671085,0.018056268564566644
