u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,bridge,maxspeed,tunnel,access,width,junction
2705634255,2705634267,0,264914152,True,,海秀路,secondary,False,239.879,"LINESTRING (113.8695755 22.5504533, 113.8700771 22.5507536, 113.8705735 22.5510173, 113.8710939 22.5512649, 113.8713387 22.5513775, 113.8716153 22.5514996)",,,,,,,
2705634256,2705634298,0,101317201,True,,,primary_link,False,61.89600000000001,"LINESTRING (113.8891005 22.5492667, 113.8889574 22.5492295, 113.8889037 22.5492219, 113.8888585 22.5492179, 113.8888282 22.5492174, 113.8887889 22.5492192, 113.8887471 22.549226, 113.8886944 22.5492412, 113.8886327 22.549263, 113.8885213 22.5493065)",,,,,,,
2705634256,1169616721,0,1184229733,True,,新安西路,primary,False,36.132000000000005,"LINESTRING (113.8891005 22.5492667, 113.8889519 22.5491423, 113.8889046 22.5491028, 113.8888398 22.5490485)",,,,,,,
2705634258,2471015845,0,239302774,False,,,residential,False,10.425,"LINESTRING (113.88723 22.55012, 113.8872896 22.5501959)",,,,,,,
2705634258,2471015827,0,239302774,False,,,residential,True,27.298,"LINESTRING (113.88723 22.55012, 113.8871634 22.5500352, 113.8870739 22.5499213)",,,,,,,
2705634258,2705634281,0,"[780057624, 1207759058]",True,,海秀路,secondary,False,147.722,"LINESTRING (113.88723 22.55012, 113.8875884 22.5498582, 113.8877985 22.5496964, 113.8883408 22.5492761)",,,,,,,
2705634259,5189066420,0,239302769,False,,,residential,True,221.933,"LINESTRING (113.8844566 22.5515811, 113.8844017 22.5515137, 113.8843094 22.5514004, 113.8842396 22.551385, 113.8836255 22.5514357, 113.8833249 22.5514132, 113.8830987 22.551381, 113.8828686 22.5513287, 113.8824314 22.551195)",,,,,,,
2705634259,2705634276,0,1207759058,True,,海秀路,secondary,False,66.87100000000001,"LINESTRING (113.8844566 22.5515811, 113.8847604 22.5514505, 113.8850451 22.5513237)",,,,,,,
2705634264,1169608512,0,780057621,True,,海秀路,secondary,False,257.243,"LINESTRING (113.8716976 22.5516476, 113.8710429 22.55135, 113.8705252 22.5510984, 113.8700251 22.5508327, 113.8695148 22.5505185)",,,,,,,
2705634267,2705634287,0,264914152,True,,海秀路,secondary,False,71.147,"LINESTRING (113.8716153 22.5514996, 113.8720754 22.5516783, 113.8721394 22.5517017, 113.8722555 22.5517441)",,,,,,,
2705634267,4729140773,0,479876955,True,,,secondary_link,False,110.71,"LINESTRING (113.8716153 22.5514996, 113.8718258 22.5515504, 113.8720302 22.5515887, 113.8721028 22.5515983, 113.8721703 22.5515945, 113.8722242 22.5515868, 113.872292 22.5515699, 113.8723544 22.5515466, 113.8724229 22.5515093, 113.8726189 22.5513824)",,,,,,,
