osmid,y,x,street_count,ref,highway,geometry
2744467558,22.6535854,113.9992553,3,,,POINT (113.9992553 22.6535854)
2744467584,22.6508563,113.998479,4,,,POINT (113.998479 22.6508563)
2744467589,22.6499477,113.9980003,1,,,POINT (113.9980003 22.6499477)
2744470809,22.6550267,114.0032842,5,,,POINT (114.0032842 22.6550267)
2744470817,22.6558061,113.9984919,1,,,POINT (113.9984919 22.6558061)
2744470827,22.6549906,114.0029855,4,,,POINT (114.0029855 22.6549906)
2746054773,22.6808369,113.973663,3,,,POINT (113.973663 22.6808369)
2746133846,22.6792166,113.9747731,3,,,POINT (113.9747731 22.6792166)
2746133883,22.6808267,113.9741579,3,,,POINT (113.9741579 22.6808267)
2746133911,22.6817093,113.9904654,4,,,POINT (113.9904654 22.6817093)
2746133917,22.6813986,113.9984136,3,,,POINT (113.9984136 22.6813986)
2746133933,22.6817973,113.9904316,4,,,POINT (113.9904316 22.6817973)
2746133950,22.6818365,113.9906387,4,,,POINT (113.9906387 22.6818365)
2746133958,22.6817446,113.9906706,4,,,POINT (113.9906706 22.6817446)
2746133982,22.6804568,113.9770576,3,,,POINT (113.9770576 22.6804568)
2746134080,22.6820012,113.9910695,3,,,POINT (113.9910695 22.6820012)
2746134082,22.6849137,113.9972522,4,,,POINT (113.9972522 22.6849137)
2746134119,22.6805335,113.9741712,3,,,POINT (113.9741712 22.6805335)
2746889240,22.6723367,113.9848476,4,,,POINT (113.9848476 22.6723367)
2746889252,22.6825202,114.0018936,3,,,POINT (114.0018936 22.6825202)
2746889255,22.6818436,113.9982206,4,,,POINT (113.9982206 22.6818436)
2746889275,22.6722732,113.9848878,4,,,POINT (113.9848878 22.6722732)
2746889278,22.6721141,113.9846773,5,,,POINT (113.9846773 22.6721141)
2746889289,22.6817711,113.998244,4,,,POINT (113.998244 22.6817711)
2746889290,22.6726708,113.9851244,3,,,POINT (113.9851244 22.6726708)
2747844624,22.6971018,113.9908325,4,,,POINT (113.9908325 22.6971018)
