x,y
-1.958451,4.222248e-05
-0.3698655,0.004387485
1.218719,0.006742408
2.807305,0.006280577
4.395889,0.006352642
5.984474,0.006533728
7.57306,0.006472536
9.161645,0.006616747
10.75023,0.00654484
12.33881,0.006298768
13.9274,0.00645707
15.51598,0.006723739
17.10457,0.006865307
18.69316,0.007056923
20.28174,0.007142285
21.87032,0.007006736
23.45891,0.007066997
25.04749,0.007110081
26.63608,0.007082951
28.22466,0.007019991
29.81325,0.006896238
31.40184,0.007058571
32.99042,0.00717581
34.57901,0.007312118
36.16759,0.007494162
37.75617,0.00741145
39.34476,0.007561211
40.93334,0.007659585
42.52193,0.007691211
44.11052,0.007825462
45.6991,0.008014605
47.28768,0.008140836
48.87627,0.008335545
50.46486,0.008435432
52.05344,0.008330409
53.64202,0.008369094
55.23061,0.008559257
56.81919,0.008935059
58.40778,0.009206568
59.99636,0.009546855
61.58495,0.009782927
63.17353,0.009943694
64.76212,0.009945694
66.35071,0.01004188
67.93929,0.01026038
69.52787,0.01036784
71.11646,0.01058793
72.70505,0.01078451
74.29363,0.01091132
75.88221,0.01110054
77.47079,0.01119714
79.05939,0.01122558
80.64797,0.01162928
82.23656,0.01187692
83.82513,0.01187558
85.41372,0.01214299
87.00231,0.01226432
88.59089,0.0121504
90.17948,0.01205877
91.76807,0.01161751
93.35664,0.01103647
94.94524,0.01041928
96.53381,0.009835411
98.12241,0.009085125
99.71099,0.008140043
101.2996,0.007415132
102.8882,0.006527384
104.4767,0.006232171
106.0653,0.005889752
107.6539,0.005562109
109.2425,0.005277323
110.8311,0.005221009
112.4197,0.004908416
114.0083,0.004549705
115.5968,0.004160156
117.1854,0.00366159
118.774,0.003100178
120.3626,0.002724159
121.9512,0.002152624
123.5398,0.001698832
125.1283,0.001326236
126.7169,0.001022966
128.3055,0.000711699
129.8941,0.000486954
131.4827,0.000319042
133.0713,0.000183995
134.6599,0.000107461
136.2484,6.608236e-05
137.837,3.224822e-05
139.4256,1.914901e-05
141.0142,2.151242e-05
142.6028,2.299247e-05
144.1914,1.934939e-05
145.78,2.453123e-05
147.3685,2.329192e-05
148.9571,2.243948e-05
150.5457,1.385753e-05
152.1343,6.692021e-06
153.7229,5.762327e-06
155.3115,5.352326e-08
