x,y
-1.001341,0.000400522
8.349336,0.02413636
17.70001,0.01785724
27.05069,0.01467924
36.40137,0.008392551
45.75204,0.005469513
55.10273,0.004314873
64.4534,0.003781206
73.80408,0.002752057
83.15476,0.001554286
92.50543,0.001025087
101.8561,0.00071069
111.2068,0.0003364
120.5575,0.000230126
129.9081,0.000127294
139.2588,5.83E-05
148.6095,4.30E-05
157.9602,2.79E-05
167.3109,2.43E-05
176.6615,1.47E-05
186.0122,1.16E-05
195.3629,1.03E-05
204.7136,1.01E-05
214.0643,6.33E-06
223.4149,6.64E-06
232.7656,6.34E-06
242.1163,3.07E-06
251.4669,3.34E-06
260.8176,3.92E-06
270.1683,1.61E-06
279.519,2.13E-06
288.8697,1.36E-06
298.2203,1.38E-06
307.571,8.37E-07
316.9217,1.06E-06
326.2724,7.01E-07
335.6231,1.17E-06
344.9737,1.97E-06
354.3244,2.12E-06
363.6751,7.99E-07
373.0258,3.78E-07
382.3765,8.83E-08
391.7271,3.88E-08
401.0778,1.01E-06
410.4285,1.29E-07
419.7791,1.71E-07
429.1299,1.01E-06
438.4805,8.36E-07
447.8312,2.97E-07
457.1819,2.65E-07
466.5326,3.22E-07
475.8832,4.70E-07
485.2339,2.20E-07
494.5846,2.57E-07
503.9352,4.09E-08
513.2859,4.70E-07
522.6366,2.58E-07
531.9873,9.85E-08
541.338,8.42E-08
550.6887,5.73E-41
560.0394,3.04E-07
569.39,1.26E-07
578.7407,2.97E-07
588.0914,2.33E-07
597.442,1.22E-09
606.7927,4.93E-08
616.1434,8.86E-09
625.4941,6.67E-19
634.8447,0
644.1954,0
653.5461,2.48E-09
662.8968,4.19E-09
672.2475,2.09E-10
681.5981,2.00E-15
690.9488,2.21E-07
700.2995,1.94E-07
709.6501,9.84E-10
719.0009,0
728.3516,4.89E-08
737.7021,2.75E-28
747.0529,7.66E-10
756.4036,2.13E-07
765.7543,1.53E-40
775.1049,2.21E-10
784.4556,4.89E-34
793.8063,0
803.157,0
812.5076,0
821.8583,0
831.209,4.00E-42
840.5596,1.01E-14
849.9103,0
859.261,7.85E-08
868.6116,0
877.9623,0
887.313,0
896.6638,2.98E-07
906.0145,1.60E-07
915.3651,0
924.7158,3.32E-09
