Location,OuterIters,Converged,StopReason,TimeTotal_s,TimePermSwap_s,TimeFitInit_s,TimeFitLoop_s,TimeFitTotal_s,PermFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts,FinalLoss
38,10,0,max_iter_reached,32.2156911,0.6190422,1.5002781,15.1046991,16.6049772,1.92155492824427,51.5431351401305,2100,117,2569.42465960111
39,6,1,no_improving_swap,20.3363503,0.3893391,1.4347314,9.2071012,10.6418326,1.91449839453247,52.3291172851207,1260,148,4790.82949837942
40,10,0,max_iter_reached,32.1386728,0.6089739,1.5293496,14.7403012,16.2696508,1.89483213507186,50.6232814940634,2100,196,3004.71048271768
41,10,0,max_iter_reached,31.8539112,0.6186699,1.4407955,14.8773982,16.3181937,1.94221016099273,51.2282262531077,2100,142,2612.31406545784
42,7,1,no_improving_swap,22.9580161,0.4263616,1.4788918,10.5479908,12.0268826,1.85713607893149,52.3864193997146,1470,115,2680.16440587692
43,10,0,max_iter_reached,32.1710038,0.6103732,1.5162644,15.1223102,16.6385746,1.89727744833377,51.7191651943419,2100,136,2924.41088368515
44,10,0,max_iter_reached,32.0464913,0.653825,1.5629106,14.8616675,16.4245781,2.04023895745491,51.2523444337259,2100,157,3492.52049776784
45,10,0,max_iter_reached,32.0994559,0.6306144,1.4951993,15.0103455,16.5055448,1.96456414078969,51.4200142563787,2100,150,3095.201286735
46,6,1,no_improving_swap,19.3898684,0.3658192,1.4866944,8.6424749,10.1291693,1.88665127814895,52.239494828134,1260,107,2821.22276993057
47,7,1,no_improving_swap,22.4748363,0.4241341,1.4174108,10.3929538,11.8103646,1.88715100897086,52.5492797471455,1470,156,2960.00709757127
48,9,1,no_improving_swap,28.5829619,0.5617986,1.4213054,13.3063295,14.7276349,1.96550169281092,51.5259228610594,1890,181,2544.22861855031
49,10,0,max_iter_reached,31.3968355,0.5901467,1.4563763,14.552241,16.0086173,1.87963751952008,50.9879962265624,2100,130,3098.25768482332
50,10,0,max_iter_reached,31.7119845,0.6293917,1.5109231,14.7501518,16.2610749,1.98471243576699,51.2773803228871,2100,100,2437.29664020878
51,6,1,no_improving_swap,19.6300483,0.3523942,1.4191896,8.9566758,10.3758654,1.7951774474238,52.857054865219,1260,88,3191.51518589589
52,7,1,no_improving_swap,23.0627211,0.4373078,1.5011861,10.5685073,12.0696934,1.89616740411434,52.3342122018724,1470,130,2292.08198411011
53,8,1,no_improving_swap,25.2760167,0.4741525,1.5526717,11.5004947,13.0531664,1.87589882388391,51.6424979257115,1680,150,3232.91224780254
54,10,0,max_iter_reached,32.2828358,0.6214879,1.3842328,15.2013786,16.5856114,1.92513416061175,51.3759432496943,2100,144,4191.72263371704
55,10,0,max_iter_reached,31.8221596,0.6087971,1.5391747,14.798766,16.3379407,1.91312314328283,51.3413951327175,2100,173,3353.3804326074
56,10,1,no_improving_swap,31.5608074,0.590474,1.4093585,14.7124069,16.1217654,1.87090904398092,51.0816000226914,2100,155,3022.21554738221
57,10,0,max_iter_reached,30.966738,0.6012105,1.4637107,14.3574899,15.8212006,1.94147184634042,51.090949908899,2100,127,2061.64324035062
58,9,1,no_improving_swap,28.2813278,0.5438633,1.5264381,13.0970625,14.6235006,1.92304726230004,51.7072631929255,1890,153,2918.80690817158
59,10,0,max_iter_reached,31.1140082,0.6006749,1.4264031,14.4065895,15.8329926,1.93056097478306,50.8870232926146,2100,185,2657.38128707507
60,9,1,no_improving_swap,28.1358054,0.53039,1.4464144,13.0752315,14.5216459,1.88510686813323,51.6126895731231,1890,145,2416.02553280609
61,9,1,no_improving_swap,28.2623328,0.5265685,1.4219784,13.1594231,14.5814015,1.86314591837232,51.5930571024909,1890,138,3042.12455407024
62,10,0,max_iter_reached,31.0834523,0.6126118,1.4678446,14.543732,16.0115766,1.97086151849356,51.5115774318286,2100,177,2603.70295838226
63,6,1,no_improving_swap,20.8053741,0.3615231,1.4563792,9.6263286,11.0827078,1.73764287180013,53.268486049477,1260,121,2662.18747721947
64,8,1,no_improving_swap,26.0946677,0.5096827,1.5049652,12.0933921,13.5983573,1.95320632498417,52.111632370011,1680,123,2523.56919331303
65,10,0,max_iter_reached,33.3364835,0.6092934,1.67229,15.4655067,17.1377967,1.82770747250531,51.4085317367082,2100,118,3203.57574472708
66,10,0,max_iter_reached,32.0678501,0.6330673,1.4413327,14.9885012,16.4298339,1.974149492485,51.2345974200497,2100,165,4763.62088930783
67,9,1,no_improving_swap,29.1307018,0.5516544,1.545971,13.5023055,15.0482765,1.89372162671344,51.6577891027672,1890,170,2748.75199997543
68,7,1,no_improving_swap,23.2632554,0.4450201,1.7731227,10.3582244,12.1313471,1.91297431227102,52.1481060642957,1470,111,3277.75149907924
69,9,1,no_improving_swap,28.2982339,0.5575073,1.4190504,13.2046712,14.6237216,1.97011340697131,51.6771528982238,1890,134,3187.13174175474
70,10,1,no_improving_swap,31.3585135,0.6207621,1.5446993,14.7065795,16.2512788,1.97956481578758,51.8241363704947,2100,105,2934.66215457826
71,10,0,max_iter_reached,37.678883,0.736477,1.5523942,17.6911192,19.2435134,1.95461473738486,51.0724094448341,2100,140,4491.05852477123
72,8,1,no_improving_swap,30.319658,0.5684739,2.5526431,13.5829108,16.1355539,1.87493506687971,53.218126339024,1680,111,2913.46099907691
73,10,0,max_iter_reached,36.6277073,0.7205141,1.7578573,17.3249546,19.0828119,1.96712858410332,52.0993895241704,2100,146,2521.66484326237
74,9,1,no_improving_swap,31.3181822,0.5730666,1.9526973,14.2052326,16.1579299,1.82982076143615,51.5928089210746,1890,135,2733.12555419157
75,10,0,max_iter_reached,29.2593527,0.5527954,1.416265,13.5453082,14.9615732,1.88929470063089,51.1343273838043,2100,147,3057.87062954267
76,9,1,no_improving_swap,26.0430255,0.5064359,1.3345809,12.0575311,13.392112,1.9446123876813,51.4230268675965,1890,150,2832.54312533166
77,10,0,max_iter_reached,28.5388143,0.5567353,1.3390444,13.2832868,14.6223312,1.95080038766712,51.2366458055687,2100,133,2571.06230537202
78,10,0,max_iter_reached,813.6009248,0.555816,1.3086727,13.4790749,14.7877476,0.0683155565656014,1.81756769802531,2100,194,2095.06491750866
79,10,0,max_iter_reached,30.0261355,0.5766694,1.3127626,14.2824572,15.5952198,1.92055817506052,51.9388177676078,2100,120,2583.89335344534
80,10,0,max_iter_reached,29.9908896,0.5778755,1.4046635,14.1009855,15.505649,1.92683680846866,51.7011972862586,2100,145,2556.14386447957
81,10,0,max_iter_reached,29.6446445,0.5782391,1.4337598,13.6927753,15.1265351,1.95056850825113,51.0261983408167,2100,185,2599.9161334921
82,8,1,no_improving_swap,24.090885,0.4505994,1.3452475,11.0133209,12.3585684,1.87041447418806,51.2997691865616,1680,146,2930.26186496623
83,10,0,max_iter_reached,29.9469708,0.5782149,1.4672382,13.9711599,15.4383981,1.93079595215687,51.5524531783362,2100,169,3583.55014856265
84,10,0,max_iter_reached,29.5290505,0.5668584,1.3543462,13.7285315,15.0828777,1.91966348528545,51.0780991755898,2100,166,4155.05228156242
85,10,1,no_improving_swap,29.6968215,0.5733769,1.3482419,14.0048044,15.3530463,1.93076858410588,51.6992914544744,2100,137,2224.16872483507
86,8,1,no_improving_swap,23.9145452,0.4579257,1.3658801,11.0995175,12.4653976,1.91484176751143,52.1247529306976,1680,136,3597.10778576309
87,10,0,max_iter_reached,29.4055117,0.5693872,1.4407785,13.7558135,15.196592,1.93632814762411,51.6793999541249,2100,151,2761.095323849
88,6,1,no_improving_swap,18.3055704,0.3388767,1.5175615,8.2656236,9.7831851,1.85122174614127,53.443759938778,1260,126,2655.87808577325
89,10,0,max_iter_reached,30.1759636,0.5780055,1.3520565,14.0927083,15.4447648,1.91545001731113,51.1823416966211,2100,104,2921.09290349138
90,10,0,max_iter_reached,30.4915658,0.586072,1.3535044,14.3271135,15.6806179,1.92207905571055,51.4260828809257,2100,161,3392.75701067838
91,10,1,no_improving_swap,30.6705776,0.5772048,1.3865583,14.4060258,15.7925841,1.88194955937185,51.4909901794611,2100,177,3382.94136624925
92,10,0,max_iter_reached,31.7245409,0.61988,1.4675815,14.7567606,16.2243421,1.95394474565903,51.1412983126889,2100,132,4091.28082983895
93,10,0,max_iter_reached,31.5536956,0.6191169,1.66606,14.6170377,16.2830977,1.96210582699543,51.6044076307816,2100,145,2294.67540428632
94,10,0,max_iter_reached,31.0961043,0.5906437,1.4184953,14.7128097,16.131305,1.89941381178092,51.8756460435464,2100,180,2984.90074007695
95,10,0,max_iter_reached,31.4113084,0.6131052,1.4207707,14.6635151,16.0842858,1.95186138760142,51.2053990084666,2100,114,2259.79916512383
96,9,1,no_improving_swap,28.0060549,0.5278086,1.602055,12.9176384,14.5196934,1.88462317125573,51.844836596389,1890,185,2384.62897955062
97,10,0,max_iter_reached,28.8135194,0.5528795,1.3385839,13.5744971,14.913081,1.91881974681649,51.7572351817599,2100,156,2815.01974929407
98,9,1,no_improving_swap,27.2025526,0.5340343,1.4138782,12.6933346,14.1072128,1.96317716154329,51.8598861196578,1890,139,2637.83091101157
99,7,1,no_improving_swap,22.0678419,0.4254234,1.4472801,10.088472,11.5357521,1.92779793297323,52.2740381786041,1470,118,3453.08056223289
100,10,0,max_iter_reached,30.7162755,0.5871837,1.5184092,14.37497,15.8933792,1.91163704076036,51.7425336935788,2100,150,2497.68487370366
101,10,1,no_improving_swap,31.8954985,0.6150319,1.4443838,15.0249491,16.4693329,1.92827179045344,51.6352892242772,2100,143,3345.48647493379
102,9,1,no_improving_swap,29.2995326,0.5673409,1.4999051,13.5903932,15.0902983,1.93634795389193,51.5035461691973,1890,175,3190.32262579311
103,10,0,max_iter_reached,30.9327849,0.5919132,1.4730119,14.3349939,15.8080058,1.91354642627085,51.1043730821663,2100,148,2277.01834478538
104,8,1,no_improving_swap,24.9935311,0.4877537,1.4718917,11.5644437,13.0363354,1.95151976744895,52.1588380122887,1680,147,1937.18377411859
105,10,0,max_iter_reached,30.9842571,0.6436282,1.3916027,14.3682043,15.759807,2.07727491391104,50.8639175989796,2100,159,2622.6002280545
106,9,1,no_improving_swap,29.3815617,0.56565,1.4678529,13.4902387,14.9580916,1.92518697874388,50.9097908161907,1890,114,2446.09044866501
107,10,0,max_iter_reached,33.4616413,0.66594,1.4985122,15.7012487,17.1997609,1.99015940081815,51.4014263251337,2100,153,3625.72812713253
108,10,0,max_iter_reached,31.7850151,0.6066331,1.5162985,14.7023355,16.218634,1.9085506113225,51.0260383673689,2100,146,2692.10510567687
109,9,1,no_improving_swap,29.1601475,0.571545,1.4256032,13.7844208,15.210024,1.96002094982544,52.1603122892297,1890,126,2743.86247303806
110,8,1,no_improving_swap,25.8995946,0.4759453,1.7041161,11.9268543,13.6309704,1.8376554048456,52.6300531360441,1680,121,3561.53913533784
111,10,1,no_improving_swap,32.9970068,0.6449086,1.3995733,15.4044821,16.8040554,1.95444575900139,50.9259991424434,2100,149,2949.16399134008
112,8,1,no_improving_swap,26.1016409,0.4921569,1.5138339,12.0944733,13.6083072,1.8855400772907,52.1358302803101,1680,127,2118.17453240088
