Location,OuterIters,Converged,StopReason,TimeTotal_s,TimeSwap_s,TimeFitInit_s,TimeFitLoop_s,TimeFitAll_s,SwapFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts
43,10,1,no_improving_swap,0.5481204,0.0421433,0.0271102,0.2342963,0.2614065,7.68869394388532,47.6914378665709,2100,96
44,14,1,no_improving_swap,0.7376878,0.0614994,0.034788,0.3191688,0.3539568,8.33677878365346,47.9819240605579,2940,314
45,9,1,no_improving_swap,0.4470823,0.037564,0.0207729,0.1893444,0.2101173,8.40203246695295,46.9974543836784,1890,146
46,11,1,no_improving_swap,0.541422,0.0436535,0.0254667,0.2379316,0.2633983,8.06274957426924,48.6493530000628,2310,110
47,10,1,no_improving_swap,0.5120159,0.0395479,0.0216344,0.2206965,0.2423309,7.72395935360601,47.3287841256492,2100,147
48,12,1,no_improving_swap,0.6022558,0.0491305,0.028401,0.2638181,0.2922191,8.1577462599779,48.5207614438915,2520,158
49,12,1,no_improving_swap,0.6006373,0.0480977,0.0220512,0.2580995,0.2801507,8.00777773874516,46.6422414991543,2520,133
50,7,1,no_improving_swap,0.4607832,0.0412986,0.0222436,0.1903806,0.2126242,8.96269655664529,46.1440868503886,1470,93
51,9,1,no_improving_swap,0.4661566,0.0383175,0.0206104,0.2031539,0.2237643,8.21987718290377,48.001958998328,1890,105
52,12,1,no_improving_swap,0.5340019,0.0443113,0.0215013,0.2331156,0.2546169,8.29796673008092,47.680897764596,2520,116
53,9,1,no_improving_swap,0.4355293,0.0411301,0.0217406,0.1832001,0.2049407,9.44370447636933,47.0555482719532,1890,101
54,9,1,no_improving_swap,0.5255879,0.0440701,0.0218467,0.2257276,0.2475743,8.38491525394706,47.1042617229202,1890,140
55,7,1,no_improving_swap,0.3806931,0.0310623,0.0223562,0.1701496,0.1925058,8.15940714449513,50.5671891610329,1470,100
56,15,1,no_improving_swap,0.8280284,0.0695897,0.0240327,0.3666465,0.3906792,8.40426487787134,47.1818599458666,3150,107
57,17,1,no_improving_swap,0.8856983,0.0719546,0.0290955,0.3789327,0.4080282,8.12405307766764,46.0685314626888,3570,162
58,14,1,no_improving_swap,0.7555062,0.0627727,0.0220278,0.345812,0.3678398,8.30869422381974,48.6878598746112,2940,253
59,7,1,no_improving_swap,0.3881961,0.0289841,0.0281741,0.164188,0.1923621,7.46635527765477,49.5528162184009,1470,122
60,5,1,no_improving_swap,0.2797247,0.0219284,0.0223717,0.1265624,0.1489341,7.83927911979171,53.2430993759221,1050,101
61,14,1,no_improving_swap,0.7594173,0.0652271,0.0241609,0.3273301,0.351491,8.58909851013402,46.2843024513663,2940,107
