osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index
277328459,22.6094219,113.8567358,3,,,POINT (113.8567358 22.6094219),38,11,3811
277328487,22.6200225,113.8542028,3,,,POINT (113.8542028 22.6200225),41,11,4111
277328494,22.6188149,113.8523632,3,,,POINT (113.8523632 22.6188149),41,11,4111
277328557,22.6106126,113.858458,3,,,POINT (113.858458 22.6106126),39,11,3911
277328568,22.611666,113.8574522,3,,,POINT (113.8574522 22.611666),39,11,3911
277328663,22.5492502,114.0888418,3,,,POINT (114.0888418 22.5492502),22,39,2239
277336359,22.6301727,113.831238,3,,,POINT (113.831238 22.6301727),44,8,4408
277336369,22.6071266,113.840322,4,,,POINT (113.840322 22.6071266),38,9,3809
277336376,22.5933663,113.8478075,3,,,POINT (113.8478075 22.5933663),34,10,3410
277336390,22.5712724,113.875832,4,,,POINT (113.875832 22.5712724),28,13,2813
277336402,22.5458762,113.9024135,3,,,POINT (113.9024135 22.5458762),22,16,2216
277336405,22.5446021,113.9043312,3,,,POINT (113.9043312 22.5446021),21,17,2117
277336536,22.5436095,113.9143313,3,,,POINT (113.9143313 22.5436095),21,18,2118
277336537,22.5434103,113.9149623,3,,,POINT (113.9149623 22.5434103),21,18,2118
277336626,22.5440259,113.9136274,3,,,POINT (113.9136274 22.5440259),21,18,2118
277336731,22.5548773,113.9071643,3,,,POINT (113.9071643 22.5548773),24,17,2417
277336766,22.5759061,113.8858627,3,,,POINT (113.8858627 22.5759061),29,14,2914
277336781,22.5826579,113.8791273,4,,,POINT (113.8791273 22.5826579),31,14,3114
277336810,22.5847014,113.8770939,4,,,POINT (113.8770939 22.5847014),32,13,3213
277336811,22.5862099,113.8756265,3,,,POINT (113.8756265 22.5862099),32,13,3213
277336843,22.590945,113.8765011,3,,,POINT (113.8765011 22.590945),33,13,3313
277337267,22.6202562,113.8550988,3,,,POINT (113.8550988 22.6202562),41,11,4111
277337274,22.6203656,113.8545716,3,,,POINT (113.8545716 22.6203656),41,11,4111
277337411,22.6128401,113.8546873,3,,,POINT (113.8546873 22.6128401),39,11,3911
277485871,22.6052224,113.8659038,4,,,POINT (113.8659038 22.6052224),37,12,3712
277486062,22.624866,113.846285,3,,,POINT (113.846285 22.624866),42,10,4210
277486218,22.573465,113.927611,3,,,POINT (113.927611 22.573465),29,19,2919
277486222,22.5647978,113.9289633,3,,,POINT (113.9289633 22.5647978),26,20,2620
277486223,22.5683965,113.9288965,3,,,POINT (113.9288965 22.5683965),27,20,2720
277486228,22.5675164,113.9289127,3,,,POINT (113.9289127 22.5675164),27,20,2720
277486333,22.5652071,113.9341328,3,,,POINT (113.9341328 22.5652071),27,20,2720
277486339,22.5646522,113.9310503,3,,,POINT (113.9310503 22.5646522),26,20,2620
277486343,22.5653161,113.9272889,3,,,POINT (113.9272889 22.5653161),27,19,2719
277486655,22.5475773,114.0677872,4,,,POINT (114.0677872 22.5475773),22,36,2236
277487471,22.5936007,113.8908125,3,,,POINT (113.8908125 22.5936007),34,15,3415
277487472,22.5933767,113.8880676,3,,,POINT (113.8880676 22.5933767),34,15,3415
277663183,22.592449,113.8787384,4,,,POINT (113.8787384 22.592449),34,14,3414
277663217,22.565414,113.9265212,3,,,POINT (113.9265212 22.565414),27,19,2719
