osmid,y,x,ref,highway,street_count,geometry,lat_index,lon_index,grid_index
5137326484,40.7232936,-73.7538245,,,3,POINT (-73.7538245 40.7232936),54,90,5490
5137326485,40.7232052,-73.7539174,,,3,POINT (-73.7539174 40.7232052),54,90,5490
5137326486,40.7226319,-73.7530156,,,3,POINT (-73.7530156 40.7226319),54,90,5490
5137326487,40.7225375,-73.7531142,,,3,POINT (-73.7531142 40.7225375),54,90,5490
5137326488,40.7223589,-73.7526806,,,3,POINT (-73.7526806 40.7223589),54,90,5490
5137326489,40.722275,-73.7527879,,,3,POINT (-73.7527879 40.722275),54,90,5490
5137326490,40.7216665,-73.7518288,,,3,POINT (-73.7518288 40.7216665),53,90,5390
5137326491,40.7215736,-73.751924,,,3,POINT (-73.751924 40.7215736),53,90,5390
5137326492,40.7213706,-73.7514637,,,3,POINT (-73.7514637 40.7213706),53,90,5390
5137326493,40.7212858,-73.7515731,,,3,POINT (-73.7515731 40.7212858),53,90,5390
5137326494,40.7180691,-73.7490922,,,3,POINT (-73.7490922 40.7180691),53,91,5391
5137326495,40.7180978,-73.74895,,,3,POINT (-73.74895 40.7180978),53,91,5391
5137373495,40.7063894,-73.7924937,,,4,POINT (-73.7924937 40.7063894),50,83,5083
5137373497,40.7066909,-73.7914621,,,3,POINT (-73.7914621 40.7066909),50,83,5083
5137382022,40.708826,-73.7781668,,,3,POINT (-73.7781668 40.708826),50,85,5085
5137382023,40.7088858,-73.7773647,,,3,POINT (-73.7773647 40.7088858),50,86,5086
5137382024,40.7089067,-73.777211,,,4,POINT (-73.777211 40.7089067),50,86,5086
5137382037,40.7113287,-73.7699941,,traffic_signals,3,POINT (-73.7699941 40.7113287),51,87,5187
5137382043,40.7128474,-73.7679774,,,3,POINT (-73.7679774 40.7128474),51,87,5187
5137382056,40.7134427,-73.7592202,,,4,POINT (-73.7592202 40.7134427),51,89,5189
5137382058,40.7134669,-73.7582238,,,3,POINT (-73.7582238 40.7134669),51,89,5189
5137382059,40.7134695,-73.7571467,,,3,POINT (-73.7571467 40.7134695),51,89,5189
5137382066,40.7140736,-73.7530528,,,3,POINT (-73.7530528 40.7140736),52,90,5290
5137382067,40.7143378,-73.7521788,,,3,POINT (-73.7521788 40.7143378),52,90,5290
5137382080,40.717504,-73.7388608,,,3,POINT (-73.7388608 40.717504),52,93,5293
5137382081,40.7176914,-73.7378869,,,3,POINT (-73.7378869 40.7176914),52,93,5293
5137382087,40.7177944,-73.7373616,,,4,POINT (-73.7373616 40.7177944),52,93,5293
5137382090,40.7159111,-73.7456275,,traffic_signals,4,POINT (-73.7456275 40.7159111),52,91,5291
5137382097,40.7157195,-73.7465306,,,3,POINT (-73.7465306 40.7157195),52,91,5291
5137382098,40.7155998,-73.7470598,,,4,POINT (-73.7470598 40.7155998),52,91,5291
5137382099,40.7154073,-73.7484108,,,4,POINT (-73.7484108 40.7154073),52,91,5291
5137382100,40.7153836,-73.7485341,,,4,POINT (-73.7485341 40.7153836),52,91,5291
5137382103,40.715102,-73.7492964,,,4,POINT (-73.7492964 40.715102),52,91,5291
5137382104,40.7145986,-73.7512882,,,3,POINT (-73.7512882 40.7145986),52,90,5290
5137382107,40.7138494,-73.7539793,,,4,POINT (-73.7539793 40.7138494),52,90,5290
5137382108,40.7134757,-73.7562161,,,4,POINT (-73.7562161 40.7134757),51,89,5189
5137382110,40.7134066,-73.7607719,,,4,POINT (-73.7607719 40.7134066),51,89,5189
5137382111,40.713409,-73.7611856,,,4,POINT (-73.7611856 40.713409),51,89,5189
5137382113,40.7133451,-73.7629976,,,4,POINT (-73.7629976 40.7133451),51,88,5188
5137382117,40.7130536,-73.7674091,,,4,POINT (-73.7674091 40.7130536),51,87,5187
5137382118,40.7131501,-73.7670349,,,3,POINT (-73.7670349 40.7131501),51,87,5187
5137382125,40.7094265,-73.774908,,,3,POINT (-73.774908 40.7094265),50,86,5086
5137382127,40.7081551,-73.7818451,,,3,POINT (-73.7818451 40.7081551),50,85,5085
5137743341,40.7342233,-73.9747585,,,3,POINT (-73.9747585 40.7342233),56,50,5650
5137747688,40.7353722,-73.9748022,,,4,POINT (-73.9748022 40.7353722),57,50,5750
5137978709,40.7323695,-73.9743536,,,3,POINT (-73.9743536 40.7323695),56,50,5650
5138477561,40.603177,-73.7699462,,,1,POINT (-73.7699462 40.603177),25,87,2587
5142961398,40.713986,-73.7381153,,,4,POINT (-73.7381153 40.713986),52,93,5293
5145323793,40.7267944,-73.9720829,,,1,POINT (-73.9720829 40.7267944),55,51,5551
5145330172,40.7292368,-73.9734571,,,1,POINT (-73.9734571 40.7292368),55,50,5550
5145531517,40.7312335,-73.9739988,,,3,POINT (-73.9739988 40.7312335),56,50,5650
5146436844,40.7163613,-73.8031328,,traffic_signals,4,POINT (-73.8031328 40.7163613),52,81,5281
5146436854,40.7204805,-73.804175,,traffic_signals,4,POINT (-73.804175 40.7204805),53,81,5381
5146436856,40.7214374,-73.8044299,,traffic_signals,4,POINT (-73.8044299 40.7214374),53,81,5381
5146436861,40.7236331,-73.8046469,,traffic_signals,4,POINT (-73.8046469 40.7236331),54,81,5481
5146436862,40.7243597,-73.8047178,,,4,POINT (-73.8047178 40.7243597),54,81,5481
5146436864,40.7250666,-73.8047733,,,4,POINT (-73.8047733 40.7250666),54,81,5481
5146436865,40.7257552,-73.804864,,traffic_signals,4,POINT (-73.804864 40.7257552),54,81,5481
5146436867,40.7264379,-73.8049355,,,4,POINT (-73.8049355 40.7264379),55,81,5581
5146436870,40.7278092,-73.8050677,,traffic_signals,4,POINT (-73.8050677 40.7278092),55,81,5581
5146436872,40.7285018,-73.80514,,,4,POINT (-73.80514 40.7285018),55,81,5581
5146436878,40.7304549,-73.8050821,,traffic_signals,4,POINT (-73.8050821 40.7304549),56,81,5681
5146436880,40.7316927,-73.8050079,,traffic_signals,5,POINT (-73.8050079 40.7316927),56,81,5681
5146436884,40.733098,-73.8048999,,traffic_signals,4,POINT (-73.8048999 40.733098),56,81,5681
5146436889,40.7349383,-73.8047686,,traffic_signals,4,POINT (-73.8047686 40.7349383),57,81,5781
5146436893,40.7367723,-73.8046654,,traffic_signals,4,POINT (-73.8046654 40.7367723),57,81,5781
5146436896,40.73811,-73.8047444,,traffic_signals,4,POINT (-73.8047444 40.73811),57,81,5781
5146436897,40.7381083,-73.8045734,,traffic_signals,4,POINT (-73.8045734 40.7381083),57,81,5781
5146436898,40.7178332,-73.8034999,,traffic_signals,4,POINT (-73.8034999 40.7178332),52,81,5281
5146436899,40.7192987,-73.8038955,,traffic_signals,4,POINT (-73.8038955 40.7192987),53,81,5381
5146436900,40.7215425,-73.8044492,,traffic_signals,4,POINT (-73.8044492 40.7215425),53,81,5381
5146436901,40.7229247,-73.8045838,,,4,POINT (-73.8045838 40.7229247),54,81,5481
5146436915,40.7271347,-73.8049871,,traffic_signals,4,POINT (-73.8049871 40.7271347),55,81,5581
5151708184,40.7277347,-74.0031249,,crossing,3,POINT (-74.0031249 40.7277347),55,45,5545
5154936981,40.7079054,-73.7847939,,traffic_signals,4,POINT (-73.7847939 40.7079054),50,84,5084
5154944978,40.7107847,-73.7706155,,traffic_signals,4,POINT (-73.7706155 40.7107847),51,87,5187
5155200011,40.7799057,-73.7700981,,,3,POINT (-73.7700981 40.7799057),67,87,6787
5155200012,40.7791386,-73.7712528,,,2,POINT (-73.7712528 40.7791386),67,87,6787
5155200015,40.7795238,-73.7710573,,,3,POINT (-73.7710573 40.7795238),67,87,6787
5155200018,40.7767062,-73.782812,,traffic_signals,4,POINT (-73.782812 40.7767062),67,85,6785
5155201423,40.7779541,-73.7785863,,,3,POINT (-73.7785863 40.7779541),67,85,6785
5155201428,40.7781952,-73.7777207,,traffic_signals,3,POINT (-73.7777207 40.7781952),67,86,6786
5155201430,40.7774188,-73.7803958,,,3,POINT (-73.7803958 40.7774188),67,85,6785
5155267054,40.7597816,-73.7832375,,,4,POINT (-73.7832375 40.7597816),63,85,6385
5155267055,40.7600539,-73.7822183,,,4,POINT (-73.7822183 40.7600539),63,85,6385
5155267056,40.7602885,-73.7813344,,,4,POINT (-73.7813344 40.7602885),63,85,6385
5155267057,40.7605306,-73.7804596,,,4,POINT (-73.7804596 40.7605306),63,85,6385
5155267058,40.7607701,-73.7795743,,,4,POINT (-73.7795743 40.7607701),63,85,6385
5155267059,40.7610043,-73.7786729,,,3,POINT (-73.7786729 40.7610043),63,85,6385
5155326275,40.7533003,-73.7655711,,,4,POINT (-73.7655711 40.7533003),61,88,6188
5155326277,40.752322,-73.7640308,,,3,POINT (-73.7640308 40.752322),61,88,6188
5155326280,40.7511256,-73.7629905,,,4,POINT (-73.7629905 40.7511256),61,88,6188
5155326281,40.7494903,-73.7622706,,,4,POINT (-73.7622706 40.7494903),60,88,6088
5155326296,40.7522651,-73.764643,,,3,POINT (-73.764643 40.7522651),61,88,6188
5155326297,40.7523658,-73.7643748,,,3,POINT (-73.7643748 40.7523658),61,88,6188
5155326300,40.7477511,-73.7616427,,traffic_signals,4,POINT (-73.7616427 40.7477511),60,88,6088
5155326301,40.7477931,-73.7615163,,traffic_signals,4,POINT (-73.7615163 40.7477931),60,88,6088
5155326302,40.7421407,-73.7589965,,,3,POINT (-73.7589965 40.7421407),58,89,5889
5155326304,40.7354274,-73.7557956,,,4,POINT (-73.7557956 40.7354274),57,90,5790
5155326311,40.7285787,-73.7495966,,,4,POINT (-73.7495966 40.7285787),55,91,5591
5155326315,40.7442987,-73.7599813,,traffic_signals,3,POINT (-73.7599813 40.7442987),59,89,5989
5155326316,40.7438995,-73.7598049,,,4,POINT (-73.7598049 40.7438995),59,89,5989
5155326527,40.7370951,-73.756576,,traffic_signals,3,POINT (-73.756576 40.7370951),57,89,5789
5155326528,40.7360264,-73.7560864,,traffic_signals,3,POINT (-73.7560864 40.7360264),57,89,5789
5155326530,40.7343453,-73.7552852,,traffic_signals,4,POINT (-73.7552852 40.7343453),56,90,5690
5155326544,40.72813,-73.7508834,,,4,POINT (-73.7508834 40.72813),55,90,5590
5155326545,40.7282316,-73.7508923,,,3,POINT (-73.7508923 40.7282316),55,90,5590
5155326546,40.7287423,-73.7487876,,,3,POINT (-73.7487876 40.7287423),55,91,5591
5155326549,40.7286163,-73.7482202,,,3,POINT (-73.7482202 40.7286163),55,91,5591
5155326551,40.7292319,-73.7528544,,traffic_signals,4,POINT (-73.7528544 40.7292319),55,90,5590
5155326552,40.7325612,-73.7544349,,,4,POINT (-73.7544349 40.7325612),56,90,5690
5155326553,40.7342507,-73.7552329,,traffic_signals,4,POINT (-73.7552329 40.7342507),56,90,5690
5155326555,40.7358042,-73.7569141,,,3,POINT (-73.7569141 40.7358042),57,89,5789
5155326557,40.7387175,-73.7573554,,traffic_signals,4,POINT (-73.7573554 40.7387175),58,89,5889
5155326573,40.740827,-73.7583587,,traffic_signals,4,POINT (-73.7583587 40.740827),58,89,5889
5155326574,40.7459665,-73.7607877,,traffic_signals,4,POINT (-73.7607877 40.7459665),59,89,5989
5155326575,40.7472421,-73.7614012,,traffic_signals,4,POINT (-73.7614012 40.7472421),60,89,6089
5155345802,40.7343019,-73.7534636,,,3,POINT (-73.7534636 40.7343019),56,90,5690
5155345806,40.7345545,-73.7533816,,,3,POINT (-73.7533816 40.7345545),57,90,5790
5155345811,40.7351997,-73.7514486,,,3,POINT (-73.7514486 40.7351997),57,90,5790
5155424212,40.721639,-73.759941,,,3,POINT (-73.759941 40.721639),53,89,5389
5155434692,40.7310486,-73.7361267,,,3,POINT (-73.7361267 40.7310486),56,93,5693
5155492878,40.7343841,-73.7220603,,,3,POINT (-73.7220603 40.7343841),56,96,5696
5155559956,40.7700843,-73.7440663,,,1,POINT (-73.7440663 40.7700843),65,92,6592
5155631450,40.7272927,-73.8127777,,,3,POINT (-73.8127777 40.7272927),55,79,5579
5155660423,40.7307703,-73.9011439,,,3,POINT (-73.9011439 40.7307703),56,63,5663
5155660424,40.7308356,-73.9013928,,,3,POINT (-73.9013928 40.7308356),56,63,5663
5155676793,40.7784033,-73.8084336,,,1,POINT (-73.8084336 40.7784033),67,80,6780
