u,v,highway,length,speed_limit,time
130157211,294144928,secondary,14.81,40,0.37025
130157211,292459004,residential,280.729,20,14.03645
130157216,294146301,secondary,11.574,40,0.28935
130157216,294149342,tertiary,360.423,30,12.0141
130157216,294146539,secondary,36.827,40,0.920675
130157220,294151168,residential,229.518,20,11.4759
130157220,294148186,secondary,55.337,40,1.383425
130157220,294149692,secondary,30.605,40,0.765125
130157236,299780158,residential,353.213,20,17.66065
130157236,299780627,secondary,57.987,40,1.449675
130216569,267117733,residential,87.558,20,4.3779
130216569,38363645,tertiary,200.974,30,6.699133333
130216569,267117714,tertiary,55.215,30,1.8405
130216698,38363655,tertiary,111.043,30,3.701433333
130216698,130221059,tertiary,126.04,30,4.201333333
130216911,9381848281,residential,108.218,20,5.4109
130216912,248487334,residential,123.508,20,6.1754
130216912,1235175253,residential,65.033,20,3.25165
130217141,130217142,secondary,33.944,40,0.8486
130217142,574800148,secondary,83.646,40,2.09115
130217142,248487277,residential,26.569,20,1.32845
130217144,8655688658,secondary,220.107,40,5.502675
130217155,257712154,unclassified,25.487,20,1.27435
130217155,908858437,residential,101.341,20,5.06705
130217155,1753895683,secondary,70.527,40,1.763175
130221057,130221065,residential,330.817,20,16.54085
130221058,130221057,residential,24.08,20,1.204
130221059,130221058,residential,34.396,20,1.7198
130221059,38363645,tertiary,50.429,30,1.680966667
130221059,130216698,tertiary,126.04,30,4.201333333
130221065,464014715,residential,25.773,20,1.28865
130221075,130221065,residential,66.062,20,3.3031
130221075,130221095,residential,293.499,20,14.67495
130221081,464014717,residential,46.844,20,2.3422
130221081,130221093,residential,72.968,20,3.6484
130221092,130221093,residential,17.311,20,0.86555
130221092,9381848280,residential,28.635,20,1.43175
130221093,130221092,residential,17.311,20,0.86555
130221093,130221081,residential,72.968,20,3.6484
130221093,246612976,residential,50.307,20,2.51535
130221095,130221057,residential,37.84,20,1.892
130221095,38363645,residential,109.955,20,5.49775
130572843,1086085114,tertiary,63.092,30,2.103066667
130572843,224825329,tertiary,513.419,30,17.11396667
130572941,224808341,residential,60.206,20,3.0103
130572941,1088122174,secondary,52.537,40,1.313425
130572941,299511369,secondary,45.091,40,1.127275
130577500,2925142377,primary,16.212,50,0.32424
130577500,296354966,residential,64.151,20,3.20755
130577500,610157476,primary,30.544,50,0.61088
