u,v,highway,length,speed_limit,time
303522977,921200047,residential,180.224,20,9.0112
303522977,303522980,residential,148.002,20,7.4001
303522977,303522976,residential,70.394,20,3.5197
303522980,303524241,residential,62.25,20,3.1125
303522980,303522977,residential,148.002,20,7.4001
303522980,2219752518,residential,112.196,20,5.6098
303523244,303523776,residential,49.33,20,2.4665
303523244,303522976,residential,160.141,20,8.00705
303523244,303522778,residential,64.903,20,3.24515
303523544,303524195,residential,97.983,20,4.89915
303523544,303523777,residential,43.523,20,2.17615
303523544,303523979,residential,180.112,20,9.0056
303523549,2219752518,residential,78.591,20,3.92955
303523549,303525000,tertiary,40.035,30,1.3345
303523549,303524156,tertiary,183.962,30,6.132066667
303523776,921200047,residential,16.928,20,0.8464
303523776,303523244,residential,49.33,20,2.4665
303523777,303523544,residential,43.523,20,2.17615
303523777,921200047,residential,15.707,20,0.78535
303523777,2023496117,residential,55.205,20,2.76025
303523979,303521989,residential,57.188,20,2.8594
303523979,2023496117,residential,279.727,20,13.98635
303523979,303523544,residential,180.112,20,9.0056
303524156,303525194,secondary,68.306,40,1.70765
303524156,303523549,tertiary,183.962,30,6.132066667
303524156,2219752515,secondary,75.554,40,1.88885
303524194,303521989,tertiary,82.454,30,2.748466667
303524194,303524944,tertiary,13.93,30,0.464333333
303524194,303524195,residential,209.918,20,10.4959
303524195,303524241,residential,81.572,20,4.0786
303524195,303523544,residential,97.983,20,4.89915
303524195,303524194,residential,209.918,20,10.4959
303524240,303524944,tertiary,68.271,30,2.2757
303524240,303524241,residential,189.07,20,9.4535
303524240,303525000,tertiary,22.409,30,0.746966667
303524241,303522980,residential,62.25,20,3.1125
303524241,303524195,residential,81.572,20,4.0786
303524241,303524240,residential,189.07,20,9.4535
303524436,303542632,residential,36.864,20,1.8432
303524585,2066623214,residential,30.014,20,1.5007
303524585,303525614,residential,106.476,20,5.3238
303524592,303521992,residential,14.009,20,0.70045
303524592,303521994,residential,59.462,20,2.9731
303524592,303525617,residential,80.119,20,4.00595
303524718,2021828727,residential,147.364,20,7.3682
303524718,2209136766,secondary,63.022,40,1.57555
303524718,303525194,secondary,122.44,40,3.061
303524720,303525614,residential,37.166,20,1.8583
303524944,303524194,tertiary,13.93,30,0.464333333
303524944,303524240,tertiary,68.271,30,2.2757
303524944,303524947,residential,235.605,20,11.78025
303524947,303521990,residential,122.093,20,6.10465
303524947,303524944,residential,235.605,20,11.78025
303524999,303525000,residential,158.512,20,7.9256
303525000,303523549,tertiary,40.035,30,1.3345
303525000,303524999,residential,158.512,20,7.9256
303525000,303524240,tertiary,22.409,30,0.746966667
303525194,303524156,secondary,68.306,40,1.70765
303525194,303525253,residential,171.18,20,8.559
303525194,303524718,secondary,122.44,40,3.061
303525253,303525194,residential,171.18,20,8.559
303525614,303524720,residential,37.166,20,1.8583
303525614,303525617,residential,158.228,20,7.9114
303525617,303524585,residential,52.606,20,2.6303
303525617,303524592,residential,80.119,20,4.00595
303525871,303527939,secondary,6.869,40,0.171725
303525871,2209136768,residential,173.299,20,8.66495
303525871,303527849,secondary,88.802,40,2.22005
303525876,303521994,residential,51.295,20,2.56475
303525876,2209136768,residential,82.359,20,4.11795
303526549,303526551,residential,139.069,20,6.95345
303526551,303527870,secondary,60.622,40,1.51555
303526551,303527849,secondary,22.026,40,0.55065
303526551,303526549,residential,139.069,20,6.95345
303526688,303526689,residential,80.799,20,4.03995
303526689,303526688,residential,80.799,20,4.03995
303526689,303526877,secondary,108.687,40,2.717175
303526689,303527870,secondary,23.887,40,0.597175
303526869,303527530,residential,215.96,20,10.798
303526869,303526873,residential,99.183,20,4.95915
303526873,303527156,residential,236.14,20,11.807
303526873,303526877,residential,129.449,20,6.47245
303526877,303506653,secondary,66.586,40,1.66465
303526877,303506653,residential,194.102,20,9.7051
303526877,303526689,secondary,108.687,40,2.717175
303526967,303537854,residential,128.17,20,6.4085
303526967,6377437191,residential,87.911,20,4.39555
303527156,303538159,residential,115.804,20,5.7902
303527530,303527575,residential,50.873,20,2.54365
303527530,303526869,residential,215.96,20,10.798
303527574,303527575,residential,65.657,20,3.28285
303527575,303537959,residential,77.192,20,3.8596
303527575,303527574,residential,65.657,20,3.28285
303527705,303527706,unclassified,60.426,20,3.0213
303527706,303527705,unclassified,60.426,20,3.0213
303527706,303506653,secondary,10.463,40,0.261575
303527706,303506668,secondary,144.405,40,3.610125
303527849,303526551,secondary,22.026,40,0.55065
303527849,303527937,residential,108.28,20,5.414
303527849,303525871,secondary,88.802,40,2.22005
303527870,303526551,secondary,60.622,40,1.51555
303527870,303526689,secondary,23.887,40,0.597175
303527937,303527939,residential,67.183,20,3.35915
303527937,303527870,residential,325.084,20,16.2542
303527939,303525871,secondary,6.869,40,0.171725
303527939,2209136766,secondary,102.893,40,2.572325
303528031,303528032,residential,165.937,20,8.29685
303528032,303528031,residential,165.937,20,8.29685
303528032,303506668,residential,31.255,20,1.56275
303528364,303528557,residential,35.044,20,1.7522
303528364,303506673,secondary,185.199,40,4.629975
303528364,303529340,secondary,60.642,40,1.51605
303528457,303528600,residential,31.151,20,1.55755
303528457,303528908,residential,114.435,20,5.72175
303528457,303528557,residential,101.093,20,5.05465
303528457,1163332221,residential,70.692,20,3.5346
303528557,303528364,residential,35.044,20,1.7522
303528557,303528908,residential,85.943,20,4.29715
303528557,303528457,residential,101.093,20,5.05465
303528599,303528600,residential,21.137,20,1.05685
303528600,303528457,residential,31.151,20,1.55755
303528600,303528599,residential,21.137,20,1.05685
303528600,310455699,residential,56.886,20,2.8443
303528908,303528557,residential,85.943,20,4.29715
303528908,303528457,residential,114.435,20,5.72175
303528908,303529011,residential,92.352,20,4.6176
303529011,303528908,residential,92.352,20,4.6176
303529334,303544800,primary,35.884,50,0.71768
303529334,303544834,primary,25.645,50,0.5129
303529340,303506709,secondary,158.083,40,3.952075
303529340,303529334,secondary,194.827,40,4.870675
303529340,303528364,secondary,60.642,40,1.51605
303529661,303506709,secondary,48.264,40,1.2066
303529661,130577549,primary,70.52,50,1.4104
303529661,130577593,primary,67.444,50,1.34888
303529929,1611199306,tertiary,34.928,30,1.164266667
303529929,303529932,residential,113.294,20,5.6647
303529932,303530498,residential,115.804,20,5.7902
303529932,303530000,residential,102.444,20,5.1222
303530000,1611199306,residential,24.136,20,1.2068
303530000,303531039,residential,36.197,20,1.80985
303530498,303529932,residential,115.804,20,5.7902
303530498,2350915605,residential,214.873,20,10.74365
303530498,303542796,residential,108.328,20,5.4164
303530501,303530619,residential,103.604,20,5.1802
303530501,303530503,residential,43.613,20,2.18065
303530501,654055977,residential,100.679,20,5.03395
303530503,303524436,residential,264.568,20,13.2284
303530618,303530619,residential,116.426,20,5.8213
303530619,303530501,residential,103.604,20,5.1802
303530619,303530705,residential,108.438,20,5.4219
303530619,303530618,residential,116.426,20,5.8213
303530703,303530705,residential,117.795,20,5.88975
303530705,303542796,residential,57.303,20,2.86515
303530705,303530619,residential,108.438,20,5.4219
303530705,303530703,residential,117.795,20,5.88975
303531039,303531043,tertiary,44.084,30,1.469466667
303531039,2021828778,tertiary,97.083,30,3.2361
303531043,303531045,tertiary,22.452,30,0.7484
303531045,303529929,residential,20.139,20,1.00695
303531045,6386440361,residential,71.515,20,3.57575
303531045,303544028,residential,326.159,20,16.30795
303531045,303531047,tertiary,16.933,30,0.564433333
303531047,1163364366,tertiary,45.545,30,1.518166667
303531047,303529929,tertiary,17.608,30,0.586933333
303531198,303524436,residential,12.03,20,0.6015
303531198,1953721741,tertiary,8.42,30,0.280666667
303531198,303543362,tertiary,99.962,30,3.332066667
303531839,2117989858,residential,179.273,20,8.96365
303531839,2021828772,residential,98.169,20,4.90845
303531839,2021828767,residential,53.097,20,2.65485
303531841,2117989858,residential,55.062,20,2.7531
303531841,303521998,residential,140.231,20,7.01155
303531900,2021828772,residential,82.84,20,4.142
303531900,2509859547,residential,167.628,20,8.3814
303531900,303537853,residential,89.443,20,4.47215
303532051,303532578,residential,49.637,20,2.48185
303532051,303532325,residential,134.222,20,6.7111
303532325,303532577,residential,75.263,20,3.76315
303532325,303532406,residential,45.637,20,2.28185
303532332,303537853,residential,35.696,20,1.7848
303532332,303532578,residential,42.744,20,2.1372
303532332,303532577,residential,216.918,20,10.8459
303532406,303538500,tertiary,52.154,30,1.738466667
303532406,921200058,tertiary,96.431,30,3.214366667
303532577,303532578,residential,159.557,20,7.97785
303532577,303532332,residential,216.918,20,10.8459
303532577,303532325,residential,75.263,20,3.76315
303532578,303532332,residential,42.744,20,2.1372
303532578,303532051,residential,49.637,20,2.48185
303532578,303532577,residential,159.557,20,7.97785
303537806,2021828774,residential,23.924,20,1.1962
303537807,303521998,residential,10.306,20,0.5153
303537807,2021828764,residential,74.38,20,3.719
303537853,303532332,residential,35.696,20,1.7848
303537853,303537854,residential,210.734,20,10.5367
303537853,303531900,residential,89.443,20,4.47215
303537854,303537807,residential,77.914,20,3.8957
303537854,303537853,residential,210.734,20,10.5367
303537956,303537958,residential,51.685,20,2.58425
303537956,303538513,tertiary,76.06,30,2.535333333
303537956,303538506,tertiary,279.565,30,9.318833333
303537958,303537959,residential,197.992,20,9.8996
303537958,1163364365,residential,24.012,20,1.2006
303537959,303526967,residential,15.953,20,0.79765
303538155,303538159,residential,333.783,20,16.68915
303538159,303527530,residential,26.978,20,1.3489
303538159,303538155,residential,333.783,20,16.68915
303538335,303538337,primary,117.351,50,2.34702
303538337,313866194,primary,131.083,50,2.62166
303538337,313866189,primary,115.506,50,2.31012
303538500,303538934,tertiary,24.898,30,0.829933333
303538500,303532406,tertiary,52.154,30,1.738466667
303538506,303537956,tertiary,279.565,30,9.318833333
303538506,303539033,tertiary,32.95,30,1.098333333
303538513,303539619,tertiary,9.476,30,0.315866667
303538513,303537956,tertiary,76.06,30,2.535333333
303538932,303538500,tertiary,24.749,30,0.824966667
303538932,303538934,residential,14.713,20,0.73565
303538934,303539031,tertiary,13.761,30,0.4587
303539031,303539033,residential,15.422,20,0.7711
303539031,303538506,tertiary,29.601,30,0.9867
303539033,303538932,tertiary,18.299,30,0.609966667
303539033,303540043,residential,476.846,20,23.8423
303539618,303538335,primary,51.443,50,1.02886
303539618,303539619,tertiary,70.4,30,2.346666667
303539619,303538335,tertiary,57.535,30,1.917833333
303539619,303538513,tertiary,9.476,30,0.315866667
303540043,303540048,residential,111.84,20,5.592
303540043,303538513,residential,118.549,20,5.92745
303540048,303540043,residential,111.84,20,5.592
303540728,303540880,tertiary,14.262,30,0.4754
303540734,619379739,tertiary,12.47,30,0.415666667
303540738,303541980,tertiary,48.123,30,1.6041
303540738,303540728,tertiary,27.659,30,0.921966667
303540869,654057965,residential,522.103,20,26.10515
303540869,303540880,residential,732.871,20,36.64355
303540869,874438243,residential,129.449,20,6.47245
303540880,303540734,tertiary,36.668,30,1.222266667
303540880,303540869,residential,732.871,20,36.64355
303540880,303542093,residential,92.174,20,4.6087
303541974,5303001248,tertiary,65.397,30,2.1799
303541974,619379744,tertiary,41.362,30,1.378733333
303541980,1953721741,tertiary,68.16,30,2.272
303541980,303540728,tertiary,52.534,30,1.751133333
303542093,303540734,residential,94.283,20,4.71415
303542093,619381404,residential,662.106,20,33.1053
303542235,303542238,motorway_link,175.095,30,5.8365
303542238,306589705,motorway,999.31,80,12.491375
303542631,303542632,residential,83.671,20,4.18355
303542632,303543361,residential,76.859,20,3.84295
303542632,303542631,residential,83.671,20,4.18355
303542681,303542682,residential,117.945,20,5.89725
303542682,303543387,residential,18.346,20,0.9173
303542682,303542681,residential,117.945,20,5.89725
303542738,303542739,residential,171.026,20,8.5513
303542739,1612111815,residential,86.576,20,4.3288
303542739,303542738,residential,171.026,20,8.5513
303542795,303542796,residential,114.514,20,5.7257
303542796,303530705,residential,57.303,20,2.86515
303542796,303542795,residential,114.514,20,5.7257
303542796,303530498,residential,108.328,20,5.4164
303543174,303543532,unclassified,17.47,20,0.8735
303543174,1163364317,tertiary,104.172,30,3.4724
303543174,303543388,tertiary,44.717,30,1.490566667
303543361,303542682,residential,31.513,20,1.57565
303543362,303543361,unclassified,18.887,20,0.94435
303543362,303531198,tertiary,99.962,30,3.332066667
303543362,303543388,tertiary,74.899,30,2.496633333
303543387,303543388,unclassified,14.781,20,0.73905
303543387,303543532,residential,68.068,20,3.4034
303543388,303543362,tertiary,74.899,30,2.496633333
303543388,303543174,tertiary,44.717,30,1.490566667
303543532,303542739,residential,21.751,20,1.08755
303543685,303543174,residential,41.898,20,2.0949
303543685,303543705,residential,116.556,20,5.8278
303543705,303543685,residential,116.556,20,5.8278
303544028,1163364340,residential,34.597,20,1.72985
303544800,303529334,primary,35.884,50,0.71768
303544800,130577549,primary,41.912,50,0.83824
303544800,303544809,residential,194.984,20,9.7492
303544809,369741779,residential,42.686,20,2.1343
303544809,303544815,residential,122.279,20,6.11395
303544809,303544800,residential,194.984,20,9.7492
303544815,303544809,residential,122.279,20,6.11395
303544815,303544824,residential,42.252,20,2.1126
303544815,303544955,residential,181.105,20,9.05525
303544824,2509859545,residential,34.842,20,1.7421
303544824,303544815,residential,42.252,20,2.1126
303544834,303544955,residential,35.25,20,1.7625
303544834,303529334,primary,25.645,50,0.5129
303544834,303545499,primary,116.887,50,2.33774
303544878,303544824,residential,98.002,20,4.9001
303544955,303544834,residential,35.25,20,1.7625
303544955,303545029,residential,220.946,20,11.0473
303544955,303545126,residential,79.855,20,3.99275
303544955,303544815,residential,181.105,20,9.05525
303545029,303544878,residential,44.484,20,2.2242
303545029,303545660,residential,139.684,20,6.9842
303545126,303544955,residential,79.855,20,3.99275
303545498,303545499,residential,102.846,20,5.1423
303545499,303545498,residential,102.846,20,5.1423
303545499,130577535,primary,42.382,50,0.84764
303545499,303544834,primary,116.887,50,2.33774
303545612,303545626,primary,27.109,50,0.54218
303545612,303545660,residential,332.576,20,16.6288
303545612,2196671726,primary,94.518,50,1.89036
303545624,303545626,unclassified,104.501,20,5.22505
303545626,303545624,unclassified,104.501,20,5.22505
303545626,130577535,primary,43.12,50,0.8624
303545626,303545612,primary,27.109,50,0.54218
303545660,303544878,residential,251.658,20,12.5829
303545660,303545612,residential,332.576,20,16.6288
303545855,303545856,residential,100.903,20,5.04515
303545856,303545855,residential,100.903,20,5.04515
303545856,2196671726,primary,116.596,50,2.33192
303545856,244063902,primary,506.365,50,10.1273
303690764,303497473,secondary,49.747,40,1.243675
303876704,241424045,tertiary,26.353,30,0.878433333
303876704,617643290,primary,108.511,50,2.17022
303876712,254304093,secondary,15.512,40,0.3878
303876712,255092064,secondary,85.448,40,2.1362
303876713,303876714,secondary,15.507,40,0.387675
303876713,241424045,secondary,65.581,40,1.639525
303876714,303876715,secondary,12.981,40,0.324525
303876714,303876704,primary,33.461,50,0.66922
303876715,303876712,secondary,12.957,40,0.323925
303876715,7935388642,primary,10.769,50,0.21538
303876723,248489813,residential,19.54,20,0.977
303876723,266963860,residential,40.266,20,2.0133
303876723,302960760,residential,103.532,20,5.1766
303883712,252528539,secondary,147.324,40,3.6831
303883712,445524893,trunk_link,670.386,30,22.3462
303883734,257569553,secondary_link,169.272,30,5.6424
303883734,246665988,secondary,169.861,40,4.246525
303896294,324814346,trunk,811.513,60,13.52521667
303896303,303896294,trunk,303.487,60,5.058116667
303896303,259312148,trunk_link,86.128,30,2.870933333
303896658,259312631,trunk,904.205,60,15.07008333
303896937,303897702,trunk,1229.995,60,20.49991667
303897702,308163615,trunk_link,180.555,30,6.0185
303897702,610239447,trunk,962.971,60,16.04951667
303902438,300130792,primary,34.337,50,0.68674
303902438,300130808,residential,183.763,20,9.18815
303902438,303902440,primary,44.373,50,0.88746
303902440,364554856,primary,29.971,50,0.59942
303902440,2390153684,primary,13.743,50,0.27486
303902584,2390164830,tertiary,18.679,30,0.622633333
303902584,303903114,primary,61.7,50,1.234
303902875,303909746,residential,138.232,20,6.9116
303902875,303902584,primary,45.418,50,0.90836
303902969,303903053,tertiary,45.852,30,1.5284
303902969,303902972,tertiary,34.615,30,1.153833333
303902969,300138315,tertiary,45.268,30,1.508933333
303902972,300138343,tertiary,30.185,30,1.006166667
303902972,762765933,tertiary,74.21,30,2.473666667
303903050,2390164830,primary,26.446,50,0.52892
303903050,303903053,tertiary,24.349,30,0.811633333
303903053,303902969,tertiary,45.852,30,1.5284
303903053,763084686,tertiary,49.954,30,1.665133333
303903114,303903050,primary,17.93,50,0.3586
303903114,300138343,primary,33.579,50,0.67158
303903234,303903235,residential,30.801,20,1.54005
303903234,303902440,primary,56.701,50,1.13402
303903235,303903237,residential,23.778,20,1.1889
303903235,2390153684,residential,17.408,20,0.8704
303903237,303902875,primary,195.363,50,3.90726
303903479,300122666,residential,71.905,20,3.59525
303903479,259307733,residential,50.948,20,2.5474
303903798,303903800,unclassified,12.548,20,0.6274
303903798,614778736,residential,42.572,20,2.1286
303903800,614778789,primary,24.586,50,0.49172
303903800,303903802,unclassified,11.355,20,0.56775
303903802,303904422,unclassified,24.937,20,1.24685
303903802,2390153683,primary,151.053,50,3.02106
303904256,614778825,secondary,16.21,40,0.40525
303904256,303904257,residential,25.481,20,1.27405
303904257,614778825,residential,16.716,20,0.8358
303904257,303904422,residential,38.02,20,1.901
303904300,303904256,secondary,158.275,40,3.956875
303904300,614778825,primary,165.574,50,3.31148
303904422,303904594,residential,30.755,20,1.53775
303904593,303904594,residential,53.949,20,2.69745
303904594,303904593,residential,53.949,20,2.69745
303904594,760671887,residential,94.66,20,4.733
303905820,300120378,residential,135.273,20,6.76365
303905820,259312153,primary,84.009,50,1.68018
303906452,300120378,residential,57.078,20,2.8539
303906452,303906452,residential,182.194,20,9.1097
303907434,300121744,residential,55.843,20,2.79215
303908270,300130792,residential,25.518,20,1.2759
303908270,300130306,residential,173.918,20,8.6959
303908534,300131588,residential,55.996,20,2.7998
303908534,2333974922,residential,8.175,20,0.40875
303909644,1110367791,tertiary,10.205,30,0.340166667
303909644,300138758,tertiary,126.208,30,4.206933333
303909681,303910075,residential,58.149,20,2.90745
303909683,303909681,residential,22.58,20,1.129
303909683,300138987,primary,168.815,50,3.3763
303909683,300138761,primary,18.036,50,0.36072
303909746,300125897,residential,28.021,20,1.40105
303909811,303909812,residential,28.215,20,1.41075
303909811,303909746,residential,74.174,20,3.7087
303909812,300138987,primary,20.566,50,0.41132
303909812,300125897,primary,62.62,50,1.2524
303910075,303909811,residential,93.281,20,4.66405
303910075,303910095,residential,136.94,20,6.847
303910095,300138758,residential,45.518,20,2.2759
303910095,303910075,residential,136.94,20,6.847
303910146,614876484,primary,574.084,50,11.48168
303910146,1179306667,unclassified,200.36,20,10.018
303910146,246517119,primary,127.47,50,2.5494
303910402,1263122940,tertiary,17.111,30,0.570366667
303910402,298041373,tertiary,210.313,30,7.010433333
303910438,2277230653,residential,75.445,20,3.77225
303910438,614876484,primary,34.972,50,0.69944
303911695,1131779912,primary,62.319,50,1.24638
303912493,303912498,tertiary_link,56.074,30,1.869133333
303912493,294170297,tertiary,127.939,30,4.264633333
303912498,294170380,tertiary,13.692,30,0.4564
303912846,298040820,primary,29.931,50,0.59862
303912846,303912855,residential,351.184,20,17.5592
303912855,303912846,residential,351.184,20,17.5592
303982531,253875094,unclassified,188.816,20,9.4408
303990445,1421279868,residential,32.512,20,1.6256
303990445,1366065306,residential,50.56,20,2.528
304150430,252528542,secondary,61.157,40,1.528925
304150430,257737379,residential,117.148,20,5.8574
304150473,304150474,trunk,138.657,60,2.31095
304150474,304150480,trunk_link,284.975,30,9.499166667
304150474,252528539,trunk_link,701.438,30,23.38126667
304150480,304150487,secondary,44.568,40,1.1142
304150487,303883734,secondary,25.127,40,0.628175
304150487,304150493,secondary_link,170.1,30,5.67
304150493,304150901,secondary,38.541,40,0.963525
304150880,294113523,secondary,205.329,40,5.133225
304150880,257569556,secondary_link,211.758,30,7.0586
304150901,304150904,secondary,42.204,40,1.0551
304150901,8294138645,secondary,49.698,40,1.24245
304150904,246665988,secondary_link,226.755,30,7.5585
304150904,257569553,secondary,132.411,40,3.310275
304152094,250903504,residential,71.818,20,3.5909
304447250,304447488,residential,48.127,20,2.40635
304447250,304447252,residential,53.806,20,2.6903
304447252,319943178,residential,75.683,20,3.78415
304447267,650386539,residential,98.851,20,4.94255
304447267,1339459267,residential,107.297,20,5.36485
304447488,304447252,residential,37.329,20,1.86645
304447488,304447493,residential,309.714,20,15.4857
304447493,304447488,residential,309.714,20,15.4857
304447493,304448446,residential,116.471,20,5.82355
304447493,304447551,residential,63.217,20,3.16085
304447551,1213228520,residential,10.032,20,0.5016
304447551,304447493,residential,63.217,20,3.16085
304447551,2368279870,tertiary,403.37,30,13.44566667
304447982,319944571,residential,58.721,20,2.93605
304448107,1109783443,secondary,21.373,40,0.534325
304448107,304448771,residential,31.745,20,1.58725
304448446,1340314329,residential,61.031,20,3.05155
304448446,304447493,residential,116.471,20,5.82355
304448446,304450065,residential,161.454,20,8.0727
304448446,319943180,residential,242.209,20,12.11045
304448447,304448932,residential,49.925,20,2.49625
304448449,304449789,residential,27.671,20,1.38355
304448449,304449912,residential,17.113,20,0.85565
304448449,304448932,residential,33.406,20,1.6703
304448454,1340314293,residential,70.966,20,3.5483
304448454,1340314636,residential,82.515,20,4.12575
304448457,298922102,tertiary,179.153,30,5.971766667
304448457,304450777,tertiary,197.918,30,6.597266667
304448457,304448454,residential,60.239,20,3.01195
304448771,1109783443,residential,31.593,20,1.57965
304448771,319943180,residential,173.768,20,8.6884
304448803,1340314396,residential,8.327,20,0.41635
304448803,304447551,tertiary,114.158,30,3.805266667
304448932,304449380,residential,87.612,20,4.3806
304448932,304448449,residential,33.406,20,1.6703
304448932,304448447,residential,49.925,20,2.49625
304449380,304448803,residential,50.535,20,2.52675
304449380,1340314293,residential,102.716,20,5.1358
304449789,2023635215,residential,28.906,20,1.4453
304449789,304448449,residential,27.671,20,1.38355
304449912,304448449,residential,17.113,20,0.85565
304449912,304449913,residential,71.303,20,3.56515
304449913,2023635206,residential,12.626,20,0.6313
304449913,2203011189,residential,129.66,20,6.483
304450065,2023635206,residential,163.973,20,8.19865
304450065,319944571,residential,64.565,20,3.22825
304450065,304448446,residential,161.454,20,8.0727
304450378,304450777,tertiary,64.958,30,2.165266667
304450378,298922011,tertiary,75.25,30,2.508333333
304450378,304450551,residential,252.387,20,12.61935
304450551,304450675,residential,96.169,20,4.80845
304450551,2209136536,residential,179.109,20,8.95545
304450675,304450551,residential,96.169,20,4.80845
304450675,2209136545,residential,184.74,20,9.237
304450675,304450777,residential,60.937,20,3.04685
304450777,304450675,residential,60.937,20,3.04685
304450777,304448457,tertiary,197.918,30,6.597266667
304450777,304450378,tertiary,64.958,30,2.165266667
304451296,304452322,tertiary,12.697,30,0.423233333
304451296,304457769,residential,119.186,20,5.9593
304451296,304452858,tertiary,113.609,30,3.786966667
304451681,304451905,residential,107.12,20,5.356
304451734,304451905,residential,102.674,20,5.1337
304451905,304459244,residential,16.514,20,0.8257
304451905,304451734,residential,102.674,20,5.1337
304451905,304451681,residential,107.12,20,5.356
304452039,304457443,tertiary,27.769,30,0.925633333
304452039,304452322,tertiary,58.702,30,1.956733333
304452305,304452039,residential,12.664,20,0.6332
304452308,304463193,residential,98.595,20,4.92975
304452308,304452305,residential,32.588,20,1.6294
304452310,252938425,primary,152.1,50,3.042
304452310,304462431,residential,35.653,20,1.78265
304452322,304452378,residential,16.951,20,0.84755
304452322,304452039,tertiary,58.702,30,1.956733333
304452322,304451296,tertiary,12.697,30,0.423233333
304452378,304452308,residential,36.668,20,1.8334
304452378,304452305,residential,37.303,20,1.86515
304452857,304452862,residential,34.464,20,1.7232
304452857,304457769,residential,115.418,20,5.7709
304452857,1236041398,residential,70.833,20,3.54165
304452858,304452861,tertiary,34.464,30,1.1488
304452858,304452857,residential,118.32,20,5.916
304452858,304451296,tertiary,113.609,30,3.786966667
304452859,304452860,residential,33.971,20,1.69855
304452859,304453277,residential,163.148,20,8.1574
304452859,304452858,residential,245.395,20,12.26975
304452860,304452859,residential,33.971,20,1.69855
304452860,304453474,residential,84.272,20,4.2136
304452860,356942661,residential,45.962,20,2.2981
304452861,304452858,tertiary,34.464,30,1.1488
304452861,250903503,tertiary,85.857,30,2.8619
304452861,304452860,residential,245.615,20,12.28075
304452862,304458774,residential,146.249,20,7.31245
304452862,304452857,residential,34.464,20,1.7232
304452862,304452861,residential,118.735,20,5.93675
304453277,304452859,residential,163.148,20,8.1574
304453277,304463193,residential,109.809,20,5.49045
304453474,304453996,residential,209.841,20,10.49205
304453474,304452860,residential,84.272,20,4.2136
304453996,250903503,residential,34.933,20,1.74665
304453996,304455158,residential,277.499,20,13.87495
304454017,304456571,residential,33.691,20,1.68455
304454806,1128049171,residential,116.736,20,5.8368
304454806,304455272,residential,119.73,20,5.9865
304454806,304455270,residential,92.225,20,4.61125
304455158,1128049162,residential,14.75,20,0.7375
304455158,304454017,residential,108.077,20,5.40385
304455270,304454806,residential,92.225,20,4.61125
304455270,253708554,residential,362.252,20,18.1126
304455270,1128049162,residential,132.462,20,6.6231
304455272,391286010,primary,29.789,50,0.59578
304455272,304454806,residential,119.73,20,5.9865
304456571,304456781,unclassified,123.523,20,6.17615
304456571,304453474,residential,100.539,20,5.02695
304456781,304456782,unclassified,11.236,20,0.5618
304456781,304456571,unclassified,123.523,20,6.17615
304456781,391286027,primary,105.434,50,2.10868
304456782,304456783,unclassified,19.332,20,0.9666
304456782,304456781,unclassified,11.236,20,0.5618
304456782,391287244,primary,105.612,50,2.11224
304456783,304456782,unclassified,19.332,20,0.9666
304456783,304456785,unclassified,12.461,20,0.62305
304456783,1260844332,primary,134.741,50,2.69482
304456785,304456783,unclassified,12.461,20,0.62305
304456785,561204907,unclassified,119.281,20,5.96405
304456785,552549647,primary,139.176,50,2.78352
304457443,304452039,tertiary,27.769,30,0.925633333
304457443,304459616,residential,143.059,20,7.15295
304457443,250903497,tertiary,99.082,30,3.302733333
304457769,304459616,residential,72.108,20,3.6054
304457769,304459244,residential,157.726,20,7.8863
304457769,304451296,residential,119.186,20,5.9593
304457769,304452857,residential,115.418,20,5.7709
304458258,250903503,tertiary,60.634,30,2.021133333
304458258,304458774,unclassified,122.304,20,6.1152
304458258,8294138645,tertiary,527.547,30,17.5849
304458394,2728904704,secondary,68.469,40,1.711725
304458394,304459364,unclassified,104.078,20,5.2039
304458774,304459364,unclassified,158.1,20,7.905
304458774,304458258,unclassified,122.304,20,6.1152
304458774,304452862,residential,146.249,20,7.31245
304459244,304451905,residential,16.514,20,0.8257
304459244,304457769,residential,157.726,20,7.8863
304459244,304459364,residential,295.063,20,14.75315
304459364,304458394,unclassified,104.078,20,5.2039
304459364,304458774,unclassified,158.1,20,7.905
304459364,304459244,residential,295.063,20,14.75315
304459616,304457769,residential,72.108,20,3.6054
304459616,304457443,residential,143.059,20,7.15295
304459616,304460132,residential,223.013,20,11.15065
304460132,1824805854,residential,36.986,20,1.8493
304460132,304460138,residential,140.854,20,7.0427
304460132,304459616,residential,223.013,20,11.15065
304460138,2008994776,residential,49.85,20,2.4925
304460138,304460132,residential,140.854,20,7.0427
304461867,252938427,residential,114.843,20,5.74215
304462431,2063473567,residential,95.209,20,4.76045
304462431,252938426,residential,165.548,20,8.2774
304462432,248681273,tertiary,173.505,30,5.7835
304462432,250903498,tertiary,34.554,30,1.1518
304462432,304462431,unclassified,147.776,20,7.3888
304462433,2023903594,residential,87.604,20,4.3802
304462433,158660548,tertiary,27.866,30,0.928866667
304463088,304463974,tertiary,252.569,30,8.418966667
304463088,560185216,residential,52.977,20,2.64885
304463088,252940228,tertiary,32.553,30,1.0851
304463093,305088353,primary,341.779,50,6.83558
304463193,304463391,residential,149.394,20,7.4697
304463193,304452308,residential,98.595,20,4.92975
304463391,248681273,tertiary,77.176,30,2.572533333
304463391,250903497,tertiary,137.092,30,4.569733333
